slide_id,fov_id,blob,bin,slide_density_mean,slide_density_std,predicted_density_score,predicted_density_label,predicted_overlap_score,predicted_overlap_label
RUB-72501824,28,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-028-RUB-72501824.png,0,0.0765,0.0982,0.07709498208,sparser,0.07127839768,no rouleaux
RUB-72501824,223,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-223-RUB-72501824.png,0,0.0765,0.0982,0.07810523203,sparser,0.09986999586,no rouleaux
RUB-72501824,147,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-147-RUB-72501824.png,0,0.0765,0.0982,0.07949392041,sparser,0.1026079713,no rouleaux
RUB-72501824,31,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-031-RUB-72501824.png,0,0.0765,0.0982,0.08188624394,sparser,0.09288346333,no rouleaux
RUB-72501824,32,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-032-RUB-72501824.png,0,0.0765,0.0982,0.0833555608,sparser,0.107572079,no rouleaux
RUB-72501824,312,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-312-RUB-72501824.png,0,0.0765,0.0982,0.08549667496,sparser,0.09723221666,no rouleaux
RUB-72501824,249,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-249-RUB-72501824.png,0,0.0765,0.0982,0.0880498394,sparser,0.1134873077,no rouleaux
RUB-72501824,104,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-104-RUB-72501824.png,0,0.0765,0.0982,0.09199820388,sparser,0.1190187626,no rouleaux
RUB-72501824,244,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-244-RUB-72501824.png,0,0.0765,0.0982,0.0935260701,sparser,0.1221928256,no rouleaux
RUB-72501824,195,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-195-RUB-72501824.png,0,0.0765,0.0982,0.09492382627,sparser,0.120913477,no rouleaux
RUB-72501824,17,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-017-RUB-72501824.png,0,0.0765,0.0982,0.09593032493,sparser,0.1058574095,no rouleaux
RUB-72501824,119,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-119-RUB-72501824.png,0,0.0765,0.0982,0.09696738152,sparser,0.128069282,no rouleaux
RUB-72501824,14,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-014-RUB-72501824.png,0,0.0765,0.0982,0.09888541661,sparser,0.1228610935,no rouleaux
RUB-72501824,213,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-213-RUB-72501824.png,0,0.0765,0.0982,0.1013479819,sparser,0.1346788526,no rouleaux
RUB-72501824,13,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-013-RUB-72501824.png,0,0.0765,0.0982,0.1039400657,sparser,0.1159388671,no rouleaux
RUB-72501824,132,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-132-RUB-72501824.png,0,0.0765,0.0982,0.1046923562,sparser,0.1376854329,no rouleaux
RUB-72501824,232,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-232-RUB-72501824.png,0,0.0765,0.0982,0.1063652729,sparser,0.1360589115,no rouleaux
