fov_id,n_spots_detected,ratio_to_median,robust_zscore,role,high_outlier
203,47,0.887,-0.225,,False
204,117,2.208,2.398,,True
205,51,0.962,-0.075,,False
206,50,0.943,-0.112,,False
207,92,1.736,1.461,,False
208,79,1.491,0.974,,False
209,136,2.566,3.11,,True
210,66,1.245,0.487,,False
211,62,1.17,0.337,,False
212,65,1.226,0.45,,False
213,61,1.151,0.3,,False
214,54,1.019,0.037,,False
215,38,0.717,-0.562,,False
216,20,0.377,-1.237,,False
217,53,1.0,0.0,,False
218,64,1.208,0.412,,False
219,107,2.019,2.023,,True
220,53,1.0,0.0,,False
221,65,1.226,0.45,,False
222,141,2.66,3.298,,True
223,34,0.642,-0.712,,False
224,70,1.321,0.637,,False
225,68,1.283,0.562,,False
226,139,2.623,3.223,,True
227,151,2.849,3.672,,True
228,48,0.906,-0.187,,False
229,39,0.736,-0.525,,False
230,39,0.736,-0.525,,False
231,64,1.208,0.412,,False
232,96,1.811,1.611,,False
233,65,1.226,0.45,,False
234,50,0.943,-0.112,,False
235,95,1.792,1.574,,False
236,92,1.736,1.461,,False
237,88,1.66,1.312,,False
238,55,1.038,0.075,,False
239,83,1.566,1.124,,False
240,142,2.679,3.335,,True
241,27,0.509,-0.974,,False
242,80,1.509,1.012,,False
243,65,1.226,0.45,,False
244,75,1.415,0.824,,False
245,75,1.415,0.824,,False
246,68,1.283,0.562,,False
247,24,0.453,-1.087,,False
248,30,0.566,-0.862,,False
249,76,1.434,0.862,,False
250,38,0.717,-0.562,,False
251,28,0.528,-0.937,,False
252,42,0.792,-0.412,,False
253,78,1.472,0.937,,False
254,91,1.717,1.424,,False
255,111,2.094,2.173,,True
256,94,1.774,1.536,,False
257,51,0.962,-0.075,,False
258,126,2.377,2.735,,True
259,94,1.774,1.536,,False
260,82,1.547,1.087,,False
261,71,1.34,0.674,,False
262,84,1.585,1.162,,False
263,65,1.226,0.45,,False
264,55,1.038,0.075,,False
265,32,0.604,-0.787,,False
266,43,0.811,-0.375,,False
267,55,1.038,0.075,,False
268,20,0.377,-1.237,,False
269,24,0.453,-1.087,,False
270,54,1.019,0.037,,False
271,64,1.208,0.412,,False
272,101,1.906,1.799,,False
273,113,2.132,2.248,,True
274,63,1.189,0.375,,False
275,86,1.623,1.237,,False
276,181,3.415,4.796,,True
277,81,1.528,1.049,,False
278,54,1.019,0.037,,False
279,46,0.868,-0.262,,False
280,98,1.849,1.686,,False
281,58,1.094,0.187,,False
282,48,0.906,-0.187,,False
283,64,1.208,0.412,,False
284,69,1.302,0.6,,False
285,76,1.434,0.862,,False
286,35,0.66,-0.674,,False
287,44,0.83,-0.337,,False
288,50,0.943,-0.112,,False
289,58,1.094,0.187,,False
290,103,1.943,1.874,,False
291,89,1.679,1.349,,False
292,87,1.642,1.274,,False
293,54,1.019,0.037,,False
294,186,3.509,4.984,,True
295,83,1.566,1.124,,False
296,88,1.66,1.312,,False
297,53,1.0,0.0,,False
298,50,0.943,-0.112,,False
299,101,1.906,1.799,,False
300,46,0.868,-0.262,,False
301,67,1.264,0.525,,False
302,56,1.057,0.112,,False
303,37,0.698,-0.6,,False
304,40,0.755,-0.487,,False
305,32,0.604,-0.787,,False
306,21,0.396,-1.199,,False
307,67,1.264,0.525,,False
308,262,4.943,7.832,,True
309,81,1.528,1.049,,False
310,51,0.962,-0.075,,False
311,52,0.981,-0.037,,False
312,151,2.849,3.672,,True
313,49,0.925,-0.15,,False
314,53,1.0,0.0,,False
315,105,1.981,1.949,,False
316,53,1.0,0.0,,False
317,53,1.0,0.0,,False
318,45,0.849,-0.3,,False
319,71,1.34,0.674,,False
320,39,0.736,-0.525,,False
321,38,0.717,-0.562,,False
322,58,1.094,0.187,,False
323,37,0.698,-0.6,,False
324,50,0.943,-0.112,boundary,False
