slide_id,site,annotatable,annotatable_rank,n_fovs,mean,median,range,stdev,mad,iqr,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p100,frac_density_ge_monolayer,frac_density_ge_slightly_dense,frac_density_ge_dense,frac_density_ge_very_dense,frac_rouleaux_ge_slight_rouleaux,frac_rouleaux_ge_some_rouleaux,frac_rouleaux_ge_rouleaux,frac_rouleaux_ge_heavy_rouleaux,top95_mean,top90_mean,top85_mean,top80_mean,top75_mean,top70_mean,top65_mean,top60_mean,top55_mean,top50_mean,top45_mean,top40_mean,top35_mean,top30_mean,top25_mean,top20_mean,top15_mean,top10_mean,top5_mean
KIT-62501054,KIT,annotatable,4,324,0.202683,0.184651,0.736203,0.119166,0.069739,0.144681,0.038044,0.05488,0.083181,0.103505,0.120205,0.133816,0.144895,0.158393,0.17423,0.184651,0.196705,0.212289,0.228207,0.243356,0.264885,0.295703,0.341332,0.375601,0.424778,0.748339,0.003086,0.0,0.0,0.0,0.003086,0.0,0.0,0.0,0.211883,0.220975,0.230455,0.23892,0.247356,0.255887,0.264774,0.274691,0.284395,0.294683,0.306152,0.318944,0.33364,0.34973,0.368905,0.391564,0.415348,0.443818,0.488321
KIT-62501056,KIT,can spot annotate,2,324,0.482484,0.44897,1.407777,0.250698,0.187172,0.366066,0.153439,0.188138,0.218238,0.24369,0.288194,0.313335,0.344118,0.372969,0.404821,0.44897,0.484503,0.532296,0.577544,0.627776,0.65426,0.700803,0.756879,0.809816,0.860341,1.420171,0.367284,0.055556,0.012346,0.003086,0.126543,0.037037,0.015432,0.012346,0.502072,0.520376,0.539843,0.558948,0.57812,0.597679,0.618184,0.641006,0.663859,0.687334,0.711313,0.73621,0.76399,0.789256,0.818808,0.85287,0.893206,0.951364,1.06923
KIT-62501057,KIT,hard,1,324,0.47669,0.452281,0.579963,0.110739,0.060199,0.130824,0.325758,0.349077,0.376649,0.392637,0.402472,0.41433,0.421751,0.432319,0.442035,0.452281,0.464453,0.481328,0.494727,0.513957,0.533296,0.552953,0.593971,0.649758,0.69777,0.835484,0.231481,0.0,0.0,0.0,0.009259,0.0,0.0,0.0,0.485672,0.493824,0.501998,0.509202,0.516625,0.524232,0.532332,0.541651,0.551033,0.561304,0.572516,0.5849,0.59939,0.61514,0.632967,0.655457,0.68096,0.710681,0.746201
KIT-62501058,KIT,annotatable (hard),3,324,0.782915,0.774933,0.787014,0.12648,0.090888,0.181397,0.591107,0.618702,0.64276,0.665602,0.685971,0.713418,0.735593,0.749901,0.763665,0.774933,0.796353,0.822529,0.831747,0.856507,0.867368,0.886108,0.904005,0.927795,0.993871,1.240221,0.990741,0.373457,0.015432,0.0,0.425926,0.074074,0.006173,0.0,0.794683,0.805119,0.815957,0.825937,0.835701,0.84529,0.854625,0.86458,0.874266,0.884681,0.895466,0.905966,0.917864,0.929671,0.943239,0.959712,0.981224,1.015937,1.069662
KIT-62501059,KIT,annotatable (hard),3,324,0.592359,0.614995,0.713009,0.154209,0.097314,0.198756,0.290753,0.349559,0.422002,0.475956,0.50648,0.53099,0.555479,0.576018,0.594952,0.614995,0.630941,0.64659,0.666831,0.692835,0.705236,0.722646,0.738129,0.76646,0.815577,0.912768,0.669753,0.040123,0.0,0.0,0.067901,0.0,0.0,0.0,0.609761,0.625988,0.641258,0.653173,0.663855,0.674166,0.684109,0.694742,0.70462,0.714272,0.724449,0.735257,0.746949,0.757517,0.768801,0.782378,0.798978,0.823869,0.859138
KIT-62501062,KIT,hard,1,324,0.44411,0.411248,0.867258,0.159736,0.112333,0.232129,0.222211,0.25769,0.279105,0.301299,0.324572,0.348524,0.360358,0.375899,0.393622,0.411248,0.437254,0.465172,0.493363,0.525774,0.556701,0.589509,0.629328,0.658062,0.723427,0.990482,0.256173,0.009259,0.0,0.0,0.027778,0.006173,0.0,0.0,0.457479,0.469117,0.481576,0.493338,0.505353,0.517279,0.529601,0.543756,0.557933,0.573278,0.589859,0.60705,0.62622,0.644664,0.664424,0.686822,0.712609,0.749696,0.807198
KIT-62501067,KIT,annotatable,4,324,0.259127,0.269301,0.574606,0.101951,0.064701,0.132999,0.060044,0.127545,0.157698,0.176369,0.19781,0.211998,0.224799,0.240312,0.256092,0.269301,0.278508,0.288457,0.305178,0.319337,0.330809,0.339021,0.351405,0.376708,0.393319,0.580904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270739,0.280487,0.289031,0.296513,0.303645,0.31044,0.317472,0.324952,0.331753,0.338609,0.345724,0.353425,0.361939,0.370224,0.379048,0.389974,0.40409,0.425542,0.468288
KIT-62501069,KIT,can spot annotate,2,324,0.748492,0.728278,0.863811,0.173037,0.136656,0.268769,0.501639,0.531675,0.566609,0.588281,0.614525,0.63669,0.655998,0.675048,0.693892,0.728278,0.763983,0.790614,0.825656,0.860484,0.883294,0.905417,0.93126,0.972222,1.044766,1.263276,0.888889,0.358025,0.027778,0.0,0.382716,0.111111,0.003086,0.0,0.763544,0.777108,0.791155,0.804438,0.817743,0.831495,0.845749,0.861536,0.877497,0.893916,0.910127,0.926621,0.944296,0.960801,0.978281,0.998551,1.024629,1.063462,1.115321
KIT-62501070,KIT,hard,1,324,0.551893,0.560067,1.444769,0.197049,0.11778,0.228782,0.220859,0.296425,0.349599,0.39217,0.43346,0.455214,0.482845,0.511615,0.534237,0.560067,0.571458,0.592901,0.611279,0.64365,0.662243,0.710684,0.746919,0.780058,0.817031,1.563321,0.546296,0.046296,0.009259,0.003086,0.074074,0.021605,0.012346,0.006173,0.570925,0.588156,0.604474,0.61897,0.632539,0.645848,0.659324,0.673353,0.686973,0.7006,0.715365,0.732027,0.751504,0.771758,0.795425,0.823116,0.854579,0.903113,1.00551
KIT-62501072,KIT,hard,1,324,0.956398,0.954718,1.089384,0.187449,0.120487,0.234036,0.614843,0.724841,0.764671,0.799694,0.828764,0.873574,0.897137,0.913799,0.935561,0.954718,0.9766,0.991672,1.013335,1.040263,1.062801,1.116529,1.167316,1.211328,1.267605,1.535706,0.987654,0.746914,0.194444,0.009259,0.811728,0.512346,0.160494,0.009259,0.97675,0.992935,1.008251,1.022168,1.035923,1.049056,1.061464,1.075119,1.088791,1.102965,1.11801,1.134444,1.154201,1.175663,1.199917,1.226228,1.253266,1.28601,1.333311
