sample_id,fov_id,country,spot_truth,notes,target_n_spots,baseline_mean,baseline_std,baseline_median,baseline_mad,n_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,96,Liberia,no,relabeled by emily 2026-08-07 (was yes),957,294.905,107.717,271.0,62.269,168,3.531,11.017,6.147,high_outlier,
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,3,Liberia,yes,diffuse,2797,543.815,241.663,510.0,115.643,324,5.484,19.776,9.324,same_slide_contamination;high_outlier,
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,305,Liberia,yes,,3431,543.815,241.663,510.0,115.643,324,6.727,25.259,11.947,same_slide_contamination;high_outlier,
LB-D3-2025-10-24-162727-230918080-D-thin-1-4,8,Liberia,yes,diffuse,2929,1138.022,554.818,1074.5,169.016,324,2.726,10.972,3.228,high_outlier,
LB-D3-2025-10-25-105806-180951467-D-thin-1-1,270,Liberia,yes,,2832,196.753,180.653,173.0,84.508,324,16.37,31.464,14.587,high_outlier,
LB-D3-2025-10-25-150947-250917467-D-thin-3-2,235,Liberia,yes,,2501,370.472,173.877,345.5,164.569,324,7.239,13.098,12.253,high_outlier,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,48,Liberia,yes,,5105,205.096,320.223,158.5,77.837,324,32.208,63.55,15.302,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,49,Liberia,yes,,2566,205.096,320.223,158.5,77.837,324,16.189,30.93,7.373,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-10-27-124239-250916732-D-thin-1-3,301,Liberia,yes,,9410,491.512,508.828,456.0,111.195,324,20.636,80.525,17.527,high_outlier,
LB-D3-2025-10-27-134711-250917368-D-thin-1-3,52,Liberia,yes,,6375,145.287,351.89,108.0,32.617,324,59.028,192.138,17.704,mean_median_divergence;high_outlier,
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,57,Liberia,no,artifact,492,534.79,706.113,372.5,133.434,324,1.321,0.896,-0.061,same_slide_contamination;mean_median_divergence,
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,243,Liberia,no,background,558,534.79,706.113,372.5,133.434,324,1.498,1.39,0.033,same_slide_contamination;mean_median_divergence,
LB-D3-2025-10-27-145205-250917002-D-thin-3-3,310,Liberia,no,artifact,342,209.985,208.872,181.0,53.374,324,1.89,3.016,0.632,high_outlier,
LB-D3-2025-10-27-154305-250917412-D-thin-1-4,119,Liberia,yes,diffuse,1037,200.389,98.134,177.0,58.563,324,5.859,14.685,8.525,high_outlier,
LB-D3-2025-10-27-155920-250713919-D-thin-3-3,169,Liberia,no,background,256,338.37,202.811,287.0,80.06,324,0.892,-0.387,-0.406,,
LB-D3-2025-10-27-173317-250917493-D-thin-2-4,82,Liberia,yes,,4501,175.287,357.267,127.0,56.339,324,35.441,77.637,12.108,mean_median_divergence;high_outlier,
LB-D5-2026-01-27-112616-0240052-VFPCHC-2-2,40,Liberia,no,background,5023,2067.525,1384.531,1556.5,1028.183,324,3.227,3.371,2.135,mean_median_divergence;high_outlier,
KIT-62500763,200,Tanzania,yes,green,3432,836.321,274.935,805.0,234.251,324,4.263,11.214,9.441,high_outlier,
KIT-62501035,67,Tanzania,yes,,3656,173.312,262.263,149.0,45.219,324,24.537,77.555,13.279,high_outlier,
KIT-62501062,83,Tanzania,no,artifact,187,151.472,82.913,129.0,77.095,324,1.45,0.752,0.428,,
KIT-62501081,141,Tanzania,yes,double,2335,95.586,172.801,74.5,43.737,324,31.342,51.684,12.959,mean_median_divergence;high_outlier,
KIT-62501087,271,Tanzania,yes,,8660,92.003,540.212,40.0,22.239,324,216.5,387.607,15.86,mean_median_divergence;high_outlier,
KTR-72502946,54,Tanzania,yes,,25,76.265,244.572,53.0,26.687,324,0.472,-1.049,-0.21,same_slide_contamination;mean_median_divergence,
