fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.4347,19.9213,28.5805,0.6848,0.9386,0,0,0,0,0,0,0,
2,False,False,False,0,1.3945,21.2857,29.6837,0.6604,0.9645,0,0,0,0,0,0,0,
3,False,False,False,0,1.2583,21.2427,26.7289,0.747,0.9558,0,0,0,0,0,0,0,
4,False,False,False,0,1.227,19.6524,24.1137,0.7434,0.9596,0,0,0,0,0,0,0,
5,False,False,False,0,1.3616,17.7929,24.2277,0.7527,0.9918,0,0,0,0,0,0,0,
6,False,False,False,0,1.4111,18.8298,26.5713,0.701,0.9703,0,0,0,0,0,0,0,
7,False,False,False,0,1.2961,19.4798,25.2476,0.7575,0.9643,0,0,0,0,0,0,0,
8,False,False,False,0,1.3535,18.7069,25.3189,0.795,0.9697,0,0,0,0,0,0,0,
9,False,False,False,0,1.281,21.107,27.0375,0.7272,0.9664,0,0,0,0,0,0,0,
10,False,False,False,0,1.3195,20.4672,27.0073,0.5931,0.9106,0,0,0,0,0,0,0,
11,True,True,False,0.4279,3.7686,19.1679,72.2368,0.0679,0.9883,0.2295,0,0.526,27.64,0.8838,0.8913,0.3131,
12,False,False,False,0,1.2799,18.8082,24.0719,0.7583,0.9872,0,0,0,0,0,0,0,
13,False,False,False,0,1.4761,19.0103,28.0613,0.676,0.9751,0,0,0,0,0,0,0,
14,True,True,False,0.338,3.4182,27.0349,92.411,0.4335,0.9931,0.0714,0,0.098,123.83,0.8635,0.2909,0.6537,
15,False,False,False,0,1.3575,22.5248,30.5783,0.6986,0.959,0,0,0,0,0,0,0,
16,False,False,False,0,1.3501,18.8148,25.4024,0.7233,0.9797,0,0,0,0,0,0,0,
17,False,False,False,0,1.4998,18.9049,28.3541,0.5582,0.9103,0,0,0,0,0,0,0,
18,False,False,False,0,1.2951,18.9279,24.5129,0.7971,0.958,0,0,0,0,0,0,0,
