fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.3756,17.3793,23.9061,0.7308,0.894,0,0,0,0,0,0,0,
2,False,False,False,0,1.3783,18.5463,25.5623,0.6956,0.9106,0,0,0,0,0,0,0,
3,False,False,False,0,1.4072,18.8352,26.5047,0.6821,0.9698,0,0,0,0,0,0,0,
4,False,False,False,0,1.4843,17.1615,25.4729,0.623,0.9718,0,0,0,0,0,0,0,
5,False,False,False,0,1.3638,17.6993,24.1377,0.6041,0.9279,0,0,0,0,0,0,0,
6,False,False,False,0,1.4762,17.2315,25.4367,0.5766,0.9771,0,0,0,0,0,0,0,
7,False,False,False,0,1.4215,15.5114,22.0494,0.6037,0.9416,0,0,0,0,0,0,0,
8,False,False,False,0,1.44,14.7592,21.2531,0.5253,0.9539,0,0,0,0,0,0,0,
9,False,False,False,0,1.452,15.2324,22.1181,0.5968,0.9817,0,0,0,0,0,0,0,
10,False,False,False,0,1.3554,15.158,20.5459,0.6326,0.9715,0,0,0,0,0,0,0,
11,False,False,False,0,1.4397,14.7518,21.2382,0.5356,0.9232,0,0,0,0,0,0,0,
12,False,False,False,0,1.6153,14.9814,24.1989,0.4789,0.9664,0,0,0,0,0,0,0,
13,False,False,False,0,1.2737,15.0752,19.2012,0.683,0.9616,0,0,0,0,0,0,0,
14,False,False,False,0,1.3681,14.4748,19.8034,0.6458,0.8808,0,0,0,0,0,0,0,
15,False,False,False,0,1.233,14.2163,17.5293,0.6827,0.9501,0,0,0,0,0,0,0,
16,False,False,False,0,1.2901,14.106,18.1982,0.6689,0.9075,0,0,0,0,0,0,0,
17,True,True,False,0.3052,3.2903,14.2869,47.0089,0.0406,0.9851,0.0921,0,1.6125,0,0,0,0,
18,False,False,False,0,1.5828,14.023,22.1958,0.4602,0.9677,0,0,0,0,0,0,0,
19,False,False,False,0,1.7722,17.021,30.1651,0.5348,0.9303,0,0,0,0,0,0,0,
20,False,False,False,0,1.4866,18.3946,27.3452,0.6555,0.9835,0,0,0,0,0,0,0,
21,False,False,False,0,1.5065,20.0177,30.1561,0.6605,0.967,0,0,0,0,0,0,0,
22,False,False,False,0,1.5336,17.5746,26.9521,0.6779,0.9603,0,0,0,0,0,0,0,
23,False,False,False,0,1.4119,16.4961,23.2912,0.7125,0.9557,0,0,0,0,0,0,0,
24,False,False,False,0,1.5508,17.2413,26.7386,0.5952,0.9679,0,0,0,0,0,0,0,
25,False,False,False,0,1.4972,15.055,22.541,0.6913,0.9598,0,0,0,0,0,0,0,
26,False,False,False,0,1.3269,13.7957,18.3058,0.7366,0.9429,0,0,0,0,0,0,0,
27,False,False,False,0,1.5207,14.0016,21.2929,0.5271,0.9671,0,0,0,0,0,0,0,
28,False,False,False,0,1.4194,14.3451,20.3619,0.6543,0.9376,0,0,0,0,0,0,0,
29,False,False,False,0,1.377,14.1581,19.496,0.699,0.9293,0,0,0,0,0,0,0,
30,False,False,False,0,1.4159,14.3722,20.3499,0.6139,0.9046,0,0,0,0,0,0,0,
