fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.3284,18.7159,24.8626,0.8285,0.9536,0,0,0,0,0,0,0,
2,False,False,False,0,1.3112,19.3175,25.3284,0.767,0.9843,0,0,0,0,0,0,0,
3,False,False,False,0,1.3452,19.4752,26.1987,0.7761,0.9821,0,0,0,0,0,0,0,
4,False,False,False,0,1.3228,20.1626,26.6721,0.7552,0.992,0,0,0,0,0,0,0,
5,False,False,False,0,1.3334,20.1591,26.88,0.7536,0.9793,0,0,0,0,0,0,0,
6,False,False,False,0,1.4,20.3945,28.5529,0.7602,0.9775,0,0,0,0,0,0,0,
7,False,False,False,0,1.4674,21.5556,31.631,0.7611,0.9815,0,0,0,0,0,0,0,
8,False,False,False,0,1.3338,23.2036,30.9485,0.7802,0.9896,0,0,0,0,0,0,0,
9,False,False,False,0,1.4171,22.981,32.5661,0.7601,0.968,0,0,0,0,0,0,0,
10,False,False,False,0,1.3453,24.4581,32.9028,0.7729,0.9806,0,0,0,0,0,0,0,
11,False,False,False,0,1.359,25.266,34.3354,0.7363,0.9772,0,0,0,0,0,0,0,
12,False,False,False,0,1.3683,25.3331,34.6631,0.761,0.9895,0,0,0,0,0,0,0,
13,False,False,False,0,1.426,26.3031,37.5089,0.7274,0.9712,0,0,0,0,0,0,0,
14,False,False,False,0,1.3101,28.6915,37.5893,0.7447,0.9803,0,0,0,0,0,0,0,
15,False,False,False,0,1.3562,28.0596,38.0551,0.7759,0.9938,0,0,0,0,0,0,0,
16,False,False,False,0,1.3918,29.0574,40.443,0.7773,0.9792,0,0,0,0,0,0,0,
17,False,False,False,0,1.3981,29.7057,41.5312,0.7714,0.9895,0,0,0,0,0,0,0,
18,False,False,False,0,1.3806,31.3314,43.2559,0.778,0.9683,0,0,0,0,0,0,0,
19,False,False,False,0,1.4744,17.6642,26.0433,0.6804,0.9083,0,0,0,0,0,0,0,
20,False,False,False,0,1.3257,18.3922,24.3824,0.7665,0.9908,0,0,0,0,0,0,0,
21,False,False,False,0,1.337,18.97,25.3622,0.7513,0.9731,0,0,0,0,0,0,0,
22,False,False,False,0,1.3686,18.9681,25.9595,0.7544,0.968,0,0,0,0,0,0,0,
23,False,False,False,0,1.406,19.2904,27.1217,0.7461,0.9842,0,0,0,0,0,0,0,
24,False,False,False,0,1.4672,19.8229,29.0841,0.7594,0.9797,0,0,0,0,0,0,0,
25,False,False,False,0,1.2939,22.4269,29.019,0.7602,0.9813,0,0,0,0,0,0,0,
26,False,False,False,0,1.351,22.5112,30.412,0.7943,0.9905,0,0,0,0,0,0,0,
27,False,False,False,0,1.375,22.6937,31.2043,0.7606,0.9794,0,0,0,0,0,0,0,
28,False,False,False,0,1.3282,23.8765,31.7124,0.7947,0.9927,0,0,0,0,0,0,0,
29,False,False,False,0.0281,2.2097,24.2202,53.5204,0.0658,0.9918,0,0,0,0,0,0,0,
30,False,False,False,0,1.4271,25.3318,36.1508,0.7127,0.9651,0,0,0,0,0,0,0,
31,False,False,False,0,1.3681,26.8735,36.7652,0.7585,0.9788,0,0,0,0,0,0,0,
32,False,False,False,0,1.3442,27.2618,36.6442,0.7858,0.9783,0,0,0,0,0,0,0,
33,False,False,False,0,1.3339,27.5279,36.7183,0.7692,0.9741,0,0,0,0,0,0,0,
34,False,False,False,0,1.7574,28.1386,49.4508,0.4954,0.9258,0,0,0,0,0,0,0,
35,False,False,False,0,1.3821,30.2571,41.8171,0.75,0.9838,0,0,0,0,0,0,0,
36,False,False,False,0,1.3605,30.8547,41.9773,0.7804,0.993,0,0,0,0,0,0,0,
37,False,False,False,0,1.2918,18.0929,23.3715,0.6496,0.7717,0,0,0,0,0,0,0,
38,False,False,False,0,1.3459,17.6089,23.6995,0.7747,0.9711,0,0,0,0,0,0,0,
39,False,False,False,0,1.3816,18.2485,25.212,0.7408,0.9718,0,0,0,0,0,0,0,
40,False,False,False,0,1.3278,18.5693,24.657,0.7257,0.9804,0,0,0,0,0,0,0,
41,False,False,False,0,1.4064,18.6061,26.1685,0.7449,0.9684,0,0,0,0,0,0,0,
42,False,False,False,0,1.3763,20.3,27.9381,0.7734,0.9969,0,0,0,0,0,0,0,
43,False,False,False,0,1.3643,20.9257,28.5497,0.7597,0.9837,0,0,0,0,0,0,0,
44,False,False,False,0,1.3367,21.3139,28.4904,0.7535,0.979,0,0,0,0,0,0,0,
45,False,False,False,0,1.3427,21.9634,29.4906,0.7571,0.9453,0,0,0,0,0,0,0,
46,False,False,False,0,1.4114,22.4563,31.696,0.7398,0.9937,0,0,0,0,0,0,0,
47,False,False,False,0,1.3519,23.3314,31.5407,0.8001,0.9774,0,0,0,0,0,0,0,
48,False,False,False,0,1.413,24.3132,34.3541,0.7359,0.9805,0,0,0,0,0,0,0,
49,False,False,False,0,1.4276,25.7245,36.7234,0.7614,0.979,0,0,0,0,0,0,0,
50,False,False,False,0,1.334,27.3443,36.4761,0.7742,0.9766,0,0,0,0,0,0,0,
51,False,False,False,0,1.4124,26.6544,37.6454,0.7595,0.987,0,0,0,0,0,0,0,
52,False,False,False,0,1.4828,27.544,40.8423,0.754,0.9752,0,0,0,0,0,0,0,
53,False,False,False,0,1.3904,28.8236,40.0774,0.7522,0.9737,0,0,0,0,0,0,0,
54,False,False,False,0,1.3759,28.1243,38.6957,0.773,0.9781,0,0,0,0,0,0,0,
55,False,False,False,0,1.595,18.1845,29.0035,0.1945,0.8812,0,0,0,0,0,0,0,
56,False,False,False,0,1.3995,17.3515,24.2831,0.751,0.9758,0,0,0,0,0,0,0,
57,False,False,False,0,1.3606,17.5751,23.9132,0.7769,0.9689,0,0,0,0,0,0,0,
58,False,False,False,0,1.3968,18.041,25.1998,0.7073,0.9853,0,0,0,0,0,0,0,
59,False,False,False,0,1.459,18.6512,27.2112,0.7316,0.964,0,0,0,0,0,0,0,
60,False,False,False,0,1.4238,20.1224,28.6512,0.7492,0.9865,0,0,0,0,0,0,0,
61,False,False,False,0,1.3181,20.4832,26.9989,0.7699,0.9878,0,0,0,0,0,0,0,
62,False,False,False,0,1.3338,20.3178,27.0996,0.7643,0.9847,0,0,0,0,0,0,0,
63,False,False,False,0,1.3712,19.8842,27.2659,0.772,0.9868,0,0,0,0,0,0,0,
64,False,False,False,0,1.4063,21.034,29.5792,0.7274,0.9793,0,0,0,0,0,0,0,
65,False,False,False,0,1.3493,22.6742,30.5953,0.7888,0.9816,0,0,0,0,0,0,0,
66,False,False,False,0,1.5657,23.7716,37.2195,0.6281,0.9491,0,0,0,0,0,0,0,
67,False,False,False,0,1.4403,24.604,35.4361,0.718,0.964,0,0,0,0,0,0,0,
68,False,False,False,0,1.3682,27.366,37.4419,0.8147,0.9848,0,0,0,0,0,0,0,
69,False,False,False,0,1.5276,26.5051,40.4888,0.6858,0.9723,0,0,0,0,0,0,0,
70,False,False,False,0,1.3957,27.0219,37.7152,0.745,0.9632,0,0,0,0,0,0,0,
71,False,False,False,0,1.3444,27.4442,36.8956,0.7518,0.9817,0,0,0,0,0,0,0,
72,False,False,False,0,1.3543,26.9783,36.5359,0.7864,0.9842,0,0,0,0,0,0,0,
73,False,False,False,0,1.4864,17.1656,25.5142,0.6214,0.9251,0,0,0,0,0,0,0,
74,False,False,False,0,1.3738,17.1566,23.5702,0.7519,0.9852,0,0,0,0,0,0,0,
75,False,False,False,0,1.3156,17.1569,22.5723,0.7716,0.986,0,0,0,0,0,0,0,
76,False,False,False,0,2.043,17.3956,35.5386,0.1122,0.8955,0,0,0,0,0,0,0,
77,False,False,False,0,1.3393,19.1804,25.6883,0.8286,0.947,0,0,0,0,0,0,0,
78,False,False,False,0,1.316,19.95,26.2537,0.7885,0.9667,0,0,0,0,0,0,0,
79,False,False,False,0,1.3026,20.8724,27.1885,0.75,0.966,0,0,0,0,0,0,0,
80,False,False,False,0,1.3816,20.1068,27.7802,0.7001,0.9852,0,0,0,0,0,0,0,
81,False,False,False,0,1.3685,19.846,27.1592,0.7618,0.9845,0,0,0,0,0,0,0,
82,False,False,False,0,1.4079,20.4139,28.7403,0.7469,0.9896,0,0,0,0,0,0,0,
83,False,False,False,0,1.3974,22.4298,31.3444,0.7555,0.9896,0,0,0,0,0,0,0,
84,False,False,False,0,1.3597,23.0482,31.3375,0.7829,0.9768,0,0,0,0,0,0,0,
85,False,False,False,0,1.4174,22.833,32.3627,0.7302,0.9756,0,0,0,0,0,0,0,
86,False,False,False,0,1.3441,26.6308,35.7954,0.7859,0.9861,0,0,0,0,0,0,0,
87,False,False,False,0,1.3556,26.4035,35.7923,0.7704,0.976,0,0,0,0,0,0,0,
88,False,False,False,0,1.4249,26.2788,37.4456,0.736,0.9809,0,0,0,0,0,0,0,
89,False,False,False,0,1.3557,27.086,36.7196,0.7342,0.9636,0,0,0,0,0,0,0,
90,False,False,False,0,1.5305,26.6154,40.7343,0.7083,0.9319,0,0,0,0,0,0,0,
91,False,False,False,0,1.3092,16.6864,21.8458,0.7806,0.9825,0,0,0,0,0,0,0,
92,False,False,False,0,1.4549,16.923,24.6208,0.6797,0.9698,0,0,0,0,0,0,0,
93,False,False,False,0,1.3483,17.2333,23.2363,0.7696,0.9785,0,0,0,0,0,0,0,
94,False,False,False,0,1.4696,17.9133,26.3253,0.7292,0.9771,0,0,0,0,0,0,0,
95,False,False,False,0,1.6645,19.6932,32.7787,0.3732,0.7618,0,0,0,0,0,0,0,
96,False,False,False,0,1.2654,19.8582,25.1289,0.7998,0.9865,0,0,0,0,0,0,0,
97,False,False,False,0,1.3331,19.2356,25.6438,0.7609,0.9888,0,0,0,0,0,0,0,
98,False,False,False,0,1.2717,19.3038,24.5482,0.7655,0.9875,0,0,0,0,0,0,0,
99,False,False,False,0,1.4173,18.7455,26.567,0.7499,0.9869,0,0,0,0,0,0,0,
100,False,False,False,0,1.4371,20.449,29.3882,0.7347,0.9856,0,0,0,0,0,0,0,
101,False,False,False,0,1.4579,21.3912,31.1852,0.7084,0.9754,0,0,0,0,0,0,0,
102,False,False,False,0,1.4016,22.3287,31.2959,0.7519,0.9777,0,0,0,0,0,0,0,
103,False,False,False,0.0566,2.3207,23.2123,53.8677,0.0564,0.99,0,0,0,0,0,0,0,
