fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.4588,19.5606,28.5345,0.7071,0.9724,0,0,0,0,0,0,0,
2,False,False,False,0,1.349,20.4824,27.6308,0.7466,0.9805,0,0,0,0,0,0,0,
3,False,False,False,0,1.3996,21.0926,29.5205,0.7347,0.983,0,0,0,0,0,0,0,
4,False,False,False,0,1.4101,21.8203,30.7682,0.7194,0.9763,0,0,0,0,0,0,0,
5,False,False,False,0,1.3563,22.3741,30.3467,0.7568,0.9831,0,0,0,0,0,0,0,
6,False,False,False,0,1.318,21.9946,28.9887,0.7526,0.9892,0,0,0,0,0,0,0,
7,False,False,False,0,1.5456,21.5051,33.2391,0.524,0.9135,0,0,0,0,0,0,0,
8,False,False,False,0,1.3492,20.4967,27.6532,0.7767,0.9698,0,0,0,0,0,0,0,
9,False,False,False,0,1.4864,19.8165,29.4561,0.6616,0.9511,0,0,0,0,0,0,0,
10,False,False,False,0,1.4043,20.14,28.2827,0.7453,0.996,0,0,0,0,0,0,0,
11,False,False,False,0,1.3854,21.8293,30.2418,0.7612,0.974,0,0,0,0,0,0,0,
12,False,False,False,0,1.3768,21.9369,30.2026,0.7727,0.9851,0,0,0,0,0,0,0,
13,False,False,False,0,1.3292,22.433,29.8186,0.7929,0.9857,0,0,0,0,0,0,0,
14,False,False,False,0,1.3712,21.3852,29.3224,0.7584,0.9345,0,0,0,0,0,0,0,
15,False,False,False,0,1.4276,21.934,31.3119,0.6667,0.9575,0,0,0,0,0,0,0,
16,False,False,False,0,1.3652,22.1653,30.2609,0.7926,0.9855,0,0,0,0,0,0,0,
17,False,False,False,0,1.3787,22.4635,30.9709,0.7522,0.9717,0,0,0,0,0,0,0,
18,False,False,False,0,1.3352,23.1838,30.9558,0.7723,0.9822,0,0,0,0,0,0,0,
19,False,False,False,0,1.4786,18.6653,27.599,0.7353,0.9757,0,0,0,0,0,0,0,
20,False,False,False,0,1.3492,20.3204,27.417,0.6822,0.9595,0,0,0,0,0,0,0,
21,False,False,False,0,1.3636,19.463,26.5397,0.7903,0.9923,0,0,0,0,0,0,0,
22,False,False,False,0,1.3569,20.1447,27.3333,0.7921,0.9831,0,0,0,0,0,0,0,
23,False,False,False,0,1.3835,20.8762,28.8827,0.7869,0.9791,0,0,0,0,0,0,0,
24,False,False,False,0,1.3309,21.4323,28.5234,0.761,0.9922,0,0,0,0,0,0,0,
25,False,False,False,0,1.3523,20.6766,27.9616,0.7087,0.9843,0,0,0,0,0,0,0,
26,False,False,False,0,1.3197,20.117,26.5478,0.7343,0.9795,0,0,0,0,0,0,0,
27,False,False,False,0,1.3394,19.6585,26.3298,0.6938,0.9688,0,0,0,0,0,0,0,
28,False,False,False,0,1.421,19.4819,27.6846,0.7351,0.9805,0,0,0,0,0,0,0,
29,False,False,False,0,1.3268,20.7493,27.5302,0.75,0.9676,0,0,0,0,0,0,0,
30,False,False,False,0,1.3373,21.3135,28.503,0.7577,0.9837,0,0,0,0,0,0,0,
31,False,False,False,0,1.3176,21.5245,28.3613,0.8067,0.9685,0,0,0,0,0,0,0,
32,False,False,False,0,1.2857,21.1596,27.2057,0.7848,0.9861,0,0,0,0,0,0,0,
33,False,False,False,0,1.333,21.4896,28.6456,0.7247,0.9702,0,0,0,0,0,0,0,
34,False,False,False,0,1.3736,21.7888,29.929,0.7604,0.9851,0,0,0,0,0,0,0,
35,False,False,False,0,1.3615,21.9841,29.9314,0.7537,0.9876,0,0,0,0,0,0,0,
36,False,False,False,0,1.394,22.6818,31.6196,0.755,0.9667,0,0,0,0,0,0,0,
37,False,False,False,0,1.6522,18.4203,30.4332,0.6159,0.9276,0,0,0,0,0,0,0,
38,False,False,False,0,1.3065,20.5486,26.8465,0.7384,0.908,0,0,0,0,0,0,0,
39,False,False,False,0,1.4047,19.7274,27.7114,0.7586,0.9845,0,0,0,0,0,0,0,
40,False,False,False,0,1.379,20.0207,27.6089,0.7432,0.9892,0,0,0,0,0,0,0,
41,False,False,False,0,1.38,20.728,28.6055,0.7914,0.9861,0,0,0,0,0,0,0,
42,False,False,False,0,1.3089,21.4749,28.1095,0.7492,0.9569,0,0,0,0,0,0,0,
43,False,False,False,0,1.3893,19.5678,27.1865,0.8121,0.9728,0,0,0,0,0,0,0,
44,False,False,False,0,1.3692,19.8791,27.218,0.7419,0.9576,0,0,0,0,0,0,0,
45,False,False,False,0,1.3628,19.4438,26.4987,0.7288,0.9731,0,0,0,0,0,0,0,
46,False,False,False,0,1.433,19.7152,28.2527,0.7419,0.9866,0,0,0,0,0,0,0,
47,False,False,False,0,1.4063,20.3282,28.5879,0.6834,0.956,0,0,0,0,0,0,0,
48,False,False,False,0.1709,2.7665,21.2919,58.9032,0.0399,0.9902,0,0,0,12.15,0.9059,0.1962,0.3033,
49,False,False,False,0,1.4101,20.8481,29.3983,0.7971,0.9812,0,0,0,0,0,0,0,
50,False,False,False,0,1.3939,21.3298,29.7319,0.7273,0.9624,0,0,0,0,0,0,0,
51,False,False,False,0,1.3956,21.3179,29.751,0.7527,0.9635,0,0,0,0,0,0,0,
52,False,False,False,0,1.3733,21.7447,29.8613,0.7125,0.9418,0,0,0,0,0,0,0,
53,False,False,False,0,1.3997,21.2093,29.6862,0.7401,0.9673,0,0,0,0,0,0,0,
54,False,False,False,0,1.4071,21.9279,30.8557,0.7892,0.9792,0,0,0,0,0,0,0,
55,False,False,False,0,1.4648,19.0091,27.8448,0.6878,0.9807,0,0,0,0,0,0,0,
56,False,False,False,0,1.3616,20.2285,27.5434,0.7588,0.9831,0,0,0,0,0,0,0,
57,False,False,False,0,1.3251,20.705,27.4367,0.7509,0.9721,0,0,0,0,0,0,0,
58,False,False,False,0,1.2761,20.7356,26.4615,0.7677,0.9595,0,0,0,0,0,0,0,
59,False,False,False,0,1.4462,20.3732,29.4635,0.7295,0.97,0,0,0,0,0,0,0,
60,False,False,False,0,1.6989,20.6484,35.0787,0.5218,0.9478,0,0,0,0,0,0,0,
61,False,False,False,0,1.2522,21.1385,26.4688,0.7948,0.9722,0,0,0,0,0,0,0,
62,False,False,False,0,1.399,19.4316,27.1848,0.7329,0.9815,0,0,0,0,0,0,0,
63,False,False,False,0,1.3229,19.9063,26.335,0.7397,0.9703,0,0,0,0,0,0,0,
64,False,False,False,0,1.3782,19.777,27.2576,0.7332,0.9664,0,0,0,0,0,0,0,
65,False,False,False,0,1.3908,19.8585,27.6185,0.7307,0.9807,0,0,0,0,0,0,0,
66,False,False,False,0,1.3654,20.473,27.9537,0.7128,0.9504,0,0,0,0,0,0,0,
67,False,False,False,0,1.3459,20.4183,27.4805,0.7903,0.9866,0,0,0,0,0,0,0,
68,False,False,False,0,1.3989,20.7717,29.0568,0.7228,0.9573,0,0,0,0,0,0,0,
69,False,False,False,0,1.4136,21.5577,30.4749,0.6969,0.9566,0,0,0,0,0,0,0,
70,False,False,False,0,1.4656,21.7199,31.8322,0.6443,0.9609,0,0,0,0,0,0,0,
71,False,False,False,0,1.5675,20.5248,32.1716,0.7392,0.9731,0,0,0,0,0,0,0,
72,False,False,False,0,1.544,22.9712,35.4682,0.6244,0.9196,0,0,0,0,0,0,0,
73,False,False,False,0,1.4137,18.289,25.8549,0.7296,0.9908,0,0,0,0,0,0,0,
74,False,False,False,0,1.5004,19.0607,28.5988,0.6358,0.9552,0,0,0,0,0,0,0,
75,False,False,False,0,1.4006,20.2696,28.39,0.7227,0.9363,0,0,0,0,0,0,0,
76,False,False,False,0,1.3556,20.2151,27.4035,0.7631,0.976,0,0,0,0,0,0,0,
77,False,False,False,0,1.3953,20.1515,28.1174,0.7332,0.9862,0,0,0,0,0,0,0,
78,False,False,False,0,1.362,20.6487,28.1235,0.7303,0.959,0,0,0,0,0,0,0,
79,False,False,False,0,1.3301,20.6037,27.405,0.7434,0.9756,0,0,0,0,0,0,0,
80,False,False,False,0,1.3497,19.7297,26.6289,0.7402,0.9656,0,0,0,0,0,0,0,
81,False,False,False,0,1.4181,19.0917,27.0747,0.7289,0.973,0,0,0,0,0,0,0,
82,False,False,False,0,1.3856,19.752,27.3679,0.729,0.974,0,0,0,0,0,0,0,
83,False,False,False,0,1.3356,20.5335,27.4243,0.7379,0.962,0,0,0,0,0,0,0,
84,False,False,False,0,1.5265,20.4845,31.2705,0.539,0.9676,0,0,0,0,0,0,0,
85,False,False,False,0,1.4078,20.3103,28.5927,0.758,0.9622,0,0,0,0,0,0,0,
86,False,False,False,0,1.4483,21.7282,31.47,0.7087,0.9545,0,0,0,0,0,0,0,
87,False,False,False,0,1.4496,21.8179,31.6266,0.7881,0.96,0,0,0,0,0,0,0,
88,False,False,False,0,1.4081,23.3481,32.8775,0.7405,0.9715,0,0,0,0,0,0,0,
89,False,False,False,0,1.4006,23.7934,33.3248,0.7668,0.9674,0,0,0,0,0,0,0,
90,False,False,False,0,1.4078,24.7421,34.8326,0.7395,0.9843,0,0,0,0,0,0,0,
91,False,False,False,0,1.354,18.157,24.584,0.7328,0.9823,0,0,0,0,0,0,0,
92,False,False,False,0,1.3912,18.5264,25.7741,0.7119,0.9764,0,0,0,0,0,0,0,
93,False,False,False,0,1.391,19.2768,26.8143,0.7703,0.9768,0,0,0,0,0,0,0,
94,False,False,False,0,1.3781,19.135,26.3692,0.7527,0.9794,0,0,0,0,0,0,0,
95,False,False,False,0,1.3581,19.7908,26.8778,0.7619,0.9795,0,0,0,0,0,0,0,
96,False,False,False,0,1.3459,20.2301,27.228,0.7239,0.9565,0,0,0,0,0,0,0,
97,False,False,False,0,1.3853,20.0021,27.7084,0.6809,0.981,0,0,0,0,0,0,0,
98,False,False,False,0,1.3421,19.29,25.8883,0.7481,0.975,0,0,0,0,0,0,0,
99,False,False,False,0,1.3576,19.0922,25.9188,0.738,0.9786,0,0,0,0,0,0,0,
100,False,False,False,0,1.3982,19.3099,26.9999,0.7476,0.978,0,0,0,0,0,0,0,
101,False,False,False,0,1.3678,19.9349,27.2677,0.7162,0.9698,0,0,0,0,0,0,0,
102,False,False,False,0,1.3463,20.6478,27.7987,0.7275,0.983,0,0,0,0,0,0,0,
103,False,False,False,0,1.4374,20.9992,30.1836,0.7745,0.9341,0,0,0,0,0,0,0,
104,False,False,False,0,1.357,23.0759,31.3146,0.7357,0.9839,0,0,0,0,0,0,0,
105,False,False,False,0,1.3569,23.6484,32.0885,0.7325,0.9733,0,0,0,0,0,0,0,
106,False,False,False,0,1.3732,23.8637,32.77,0.7778,0.9885,0,0,0,0,0,0,0,
