fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.9545,19.5763,38.2625,0.2509,0.7323,0,0,0,0,0,0,0,
2,False,False,False,0,1.8445,21.1189,38.9547,0.1027,0.7757,0,0,0,0,0,0,0,
3,False,False,False,0,1.279,21.0825,26.9649,0.7805,0.9853,0,0,0,0,0,0,0,
4,False,False,False,0,1.2938,21.7989,28.2025,0.8186,0.9942,0,0,0,0,0,0,0,
5,False,False,False,0,1.3619,21.7404,29.6091,0.7978,0.9772,0,0,0,0,0,0,0,
6,False,False,False,0,1.3337,22.3772,29.8444,0.7769,0.9854,0,0,0,0,0,0,0,
7,False,False,False,0,1.3956,23.9281,33.3934,0.7465,0.9805,0,0,0,0,0,0,0,
8,False,False,False,0,1.4499,23.6853,34.3418,0.6899,0.9869,0,0,0,0,0,0,0,
9,False,False,False,0,1.3542,24.0331,32.5446,0.7884,0.9885,0,0,0,0,0,0,0,
10,False,False,False,0,1.3294,24.3812,32.4132,0.7974,0.9765,0,0,0,0,0,0,0,
11,False,False,False,0,1.3524,25.1081,33.9563,0.7692,0.9807,0,0,0,0,0,0,0,
12,False,False,False,0,1.3774,26.0922,35.9381,0.768,0.9921,0,0,0,0,0,0,0,
13,False,False,False,0,1.3698,27.29,37.3831,0.7566,0.991,0,0,0,0,0,0,0,
14,False,False,False,0,1.3449,28.106,37.7991,0.7532,0.981,0,0,0,0,0,0,0,
15,False,False,False,0,1.4738,27.1639,40.0333,0.7088,0.9758,0,0,0,0,0,0,0,
16,False,False,False,0,1.4734,27.1656,40.0256,0.7279,0.9884,0,0,0,0,0,0,0,
17,False,False,False,0,1.424,28.3448,40.3644,0.7643,0.9876,0,0,0,0,0,0,0,
18,False,False,False,0,1.3711,29.1818,40.01,0.7454,0.9689,0,0,0,0,0,0,0,
19,False,False,False,0,1.3732,20.5644,28.2392,0.7736,0.9805,0,0,0,0,0,0,0,
20,False,False,False,0,1.3314,21.0647,28.0453,0.7958,0.9669,0,0,0,0,0,0,0,
21,False,False,False,0,1.3494,20.9806,28.3122,0.7581,0.9798,0,0,0,0,0,0,0,
22,False,False,False,0,1.377,20.8964,28.7743,0.761,0.9905,0,0,0,0,0,0,0,
23,False,False,False,0,2.0863,20.957,43.7228,0.08,0.8885,0,0,0,0,0,0,0,
24,False,False,False,0,1.3887,21.2787,29.5488,0.7463,0.9939,0,0,0,0,0,0,0,
25,False,False,False,0,1.315,23.1388,30.4285,0.7347,0.9804,0,0,0,0,0,0,0,
26,False,False,False,0,1.351,23.2696,31.4366,0.7734,0.9732,0,0,0,0,0,0,0,
27,False,False,False,0,1.346,23.5435,31.6899,0.7469,0.9771,0,0,0,0,0,0,0,
28,False,False,False,0,1.3506,23.6505,31.9433,0.7658,0.986,0,0,0,0,0,0,0,
29,False,False,False,0,1.3971,24.8932,34.7775,0.7143,0.9774,0,0,0,0,0,0,0,
30,False,False,False,0,1.3732,24.3575,33.4478,0.7414,0.9691,0,0,0,0,0,0,0,
31,False,False,False,0,1.3997,24.8849,34.8312,0.7353,0.9811,0,0,0,0,0,0,0,
32,False,False,False,0,1.3988,24.9839,34.9486,0.7268,0.9719,0,0,0,0,0,0,0,
33,False,False,False,0,1.3519,25.7756,34.845,0.7519,0.9611,0,0,0,0,0,0,0,
34,False,False,False,0,1.3595,25.2495,34.3265,0.7477,0.9851,0,0,0,0,0,0,0,
35,False,False,False,0,1.408,25.8082,36.338,0.7425,0.9864,0,0,0,0,0,0,0,
36,False,False,False,0,1.3259,27.2668,36.1544,0.7722,0.9804,0,0,0,0,0,0,0,
37,False,False,False,0,1.3619,19.4639,26.5075,0.7433,0.9487,0,0,0,0,0,0,0,
38,False,False,False,0,1.3942,19.095,26.623,0.7606,0.9379,0,0,0,0,0,0,0,
39,False,False,False,0,1.3972,19.7683,27.6196,0.574,0.9606,0,0,0,0,0,0,0,
40,False,False,False,0,1.5863,18.9166,30.0075,0.6929,0.9549,0,0,0,0,0,0,0,
41,False,False,False,0,1.3781,20.3827,28.0893,0.7542,0.9815,0,0,0,0,0,0,0,
42,False,False,False,0,1.4687,20.9231,30.7304,0.692,0.9773,0,0,0,0,0,0,0,
43,False,False,False,0,1.3933,21.6271,30.1341,0.8061,0.9617,0,0,0,0,0,0,0,
44,False,False,False,0,1.392,22.2783,31.0108,0.77,0.9843,0,0,0,0,0,0,0,
45,False,False,False,0,1.3967,21.8861,30.5674,0.6044,0.9626,0,0,0,0,0,0,0,
46,False,False,False,0,1.3835,20.9793,29.0251,0.7631,0.9412,0,0,0,0,0,0,0,
47,False,False,False,0,1.4988,21.2952,31.9173,0.6183,0.9841,0,0,0,0,0,0,0,
48,False,False,False,0,1.7085,18.4166,31.4651,0.6544,0.9821,0,0,0,0,0,0,0,
49,False,False,False,0,1.6587,19.0548,31.6054,0.7512,0.8885,0,0,0,0,0,0,0,
50,False,False,False,0,1.3854,20.7534,28.7527,0.793,0.899,0,0,0,0,0,0,0,
51,False,False,False,0,1.5126,22.2734,33.6917,0.7068,0.9467,0,0,0,0,0,0,0,
52,False,False,False,0,1.4361,25.0014,35.9057,0.743,0.976,0,0,0,0,0,0,0,
53,False,False,False,0,1.3515,26.1239,35.3061,0.7492,0.9743,0,0,0,0,0,0,0,
54,False,False,False,0,1.3373,25.8221,34.5326,0.7472,0.93,0,0,0,0,0,0,0,
55,False,False,False,0,1.5018,19.7378,29.6423,0.7175,0.9379,0,0,0,0,0,0,0,
56,False,False,False,0,1.5094,20.3462,30.7107,0.6656,0.9139,0,0,0,0,0,0,0,
57,False,False,False,0,1.538,20.5089,31.5435,0.6619,0.9013,0,0,0,0,0,0,0,
58,False,False,False,0,1.548,19.8594,30.7416,0.7252,0.9464,0,0,0,0,0,0,0,
59,False,False,False,0,1.6912,19.2831,32.6107,0.6336,0.9283,0,0,0,0,0,0,0,
60,False,False,False,0,1.6525,18.9138,31.2552,0.6724,0.977,0,0,0,0,0,0,0,
61,False,False,False,0,1.5822,19.8469,31.4015,0.6566,0.9703,0,0,0,0,0,0,0,
62,False,False,False,0,1.6176,19.3665,31.3277,0.5976,0.9855,0,0,0,0,0,0,0,
63,False,False,False,0,1.7649,18.9277,33.4059,0.7708,0.9403,0,0,0,0,0,0,0,
64,False,False,False,0,1.7485,22.0018,38.4708,0.5838,0.8839,0,0,0,0,0,0,0,
65,False,False,False,0,1.4455,24.6534,35.6371,0.7135,0.8706,0,0,0,0,0,0,0,
66,False,False,False,0,1.5363,23.5256,36.1432,0.7582,0.9662,0,0,0,0,0,0,0,
67,False,False,False,0,1.5298,25.1053,38.405,0.6378,0.8845,0,0,0,0,0,0,0,
68,False,False,False,0,1.5825,23.3094,36.8879,0.6664,0.9614,0,0,0,0,0,0,0,
69,False,False,False,0,1.5372,23.201,35.6639,0.6988,0.9653,0,0,0,0,0,0,0,
70,False,False,False,0,1.4593,24.366,35.5568,0.7138,0.8687,0,0,0,0,0,0,0,
71,False,False,False,0,1.5377,24.9683,38.3932,0.6621,0.9672,0,0,0,0,0,0,0,
72,False,False,False,0,1.3362,25.4449,33.9991,0.776,0.9387,0,0,0,0,0,0,0,
73,False,False,False,0,1.3929,20.7842,28.9494,0.7695,0.9028,0,0,0,0,0,0,0,
74,False,False,False,0,1.4175,21.2104,30.0647,0.6848,0.9812,0,0,0,0,0,0,0,
75,False,False,False,0,1.4473,21.2855,30.8061,0.691,0.981,0,0,0,0,0,0,0,
76,False,False,False,0,1.4446,22.0708,31.8834,0.6953,0.9882,0,0,0,0,0,0,0,
77,False,False,False,0,1.4128,22.8462,32.278,0.7279,0.9183,0,0,0,0,0,0,0,
78,False,False,False,0,1.5226,23.1961,35.3181,0.6249,0.9742,0,0,0,0,0,0,0,
79,False,False,False,0,1.4418,23.6742,34.1343,0.6688,0.9857,0,0,0,0,0,0,0,
80,False,False,False,0,1.4761,23.4191,34.5692,0.6888,0.9895,0,0,0,0,0,0,0,
81,False,False,False,0,1.5246,24.2601,36.9859,0.6796,0.9876,0,0,0,0,0,0,0,
82,False,False,False,0,1.5208,24.9182,37.8948,0.7356,0.9862,0,0,0,0,0,0,0,
83,False,False,False,0,1.519,26.3384,40.0071,0.6943,0.9874,0,0,0,0,0,0,0,
84,False,False,False,0,1.7221,27.292,47.0008,0.5171,0.9842,0,0,0,0,0,0,0,
85,False,False,False,0,1.4798,27.4732,40.6561,0.7779,0.9018,0,0,0,0,0,0,0,
86,False,False,False,0,1.4967,27.4579,41.0974,0.6927,0.9792,0,0,0,0,0,0,0,
87,False,False,False,0,1.4886,27.5663,41.0351,0.6951,0.9782,0,0,0,0,0,0,0,
88,False,False,False,0,1.3814,28.1771,38.925,0.6255,0.959,0,0,0,0,0,0,0,
89,False,False,False,0,1.5192,26.5986,40.408,0.6801,0.978,0,0,0,0,0,0,0,
90,False,False,False,0,1.5378,26.0435,40.0486,0.6797,0.9852,0,0,0,0,0,0,0,
91,False,False,False,0,1.3907,20.397,28.3669,0.7174,0.9245,0,0,0,0,0,0,0,
92,False,False,False,0,1.4215,20.4922,29.1307,0.7597,0.9816,0,0,0,0,0,0,0,
93,False,False,False,0,1.4035,21.5203,30.2032,0.7136,0.9636,0,0,0,0,0,0,0,
94,False,False,False,0,1.3995,22.155,31.0055,0.7426,0.9543,0,0,0,0,0,0,0,
95,False,False,False,0,1.3839,22.5679,31.2314,0.7641,0.9697,0,0,0,0,0,0,0,
96,False,False,False,0,1.4775,23.0785,34.0996,0.6887,0.9678,0,0,0,0,0,0,0,
97,False,False,False,0,1.3868,24.1313,33.4643,0.7554,0.9854,0,0,0,0,0,0,0,
98,False,False,False,0,1.3628,24.6458,33.5874,0.7618,0.9841,0,0,0,0,0,0,0,
99,False,False,False,0,1.3455,25.1867,33.8894,0.7801,0.974,0,0,0,0,0,0,0,
100,False,False,False,0,1.3863,26.0595,36.1269,0.745,0.9896,0,0,0,0,0,0,0,
101,False,False,False,0,1.3704,27.1495,37.2058,0.7614,0.9764,0,0,0,0,0,0,0,
102,False,False,False,0,1.4012,27.3187,38.279,0.7546,0.9897,0,0,0,0,0,0,0,
103,False,False,False,0,1.4175,27.8278,39.4456,0.7519,0.9731,0,0,0,0,0,0,0,
104,False,False,False,0,1.3767,27.5698,37.9555,0.7354,0.9736,0,0,0,0,0,0,0,
105,False,False,False,0,1.4426,27.5635,39.7632,0.7201,0.9597,0,0,0,0,0,0,0,
106,False,False,False,0,1.418,26.5058,37.5857,0.7763,0.9943,0,0,0,0,0,0,0,
107,False,False,False,0,1.3154,27.8582,36.645,0.7893,0.9791,0,0,0,0,0,0,0,
108,False,False,False,0,1.3559,28.0492,38.0315,0.7672,0.9862,0,0,0,0,0,0,0,
109,False,False,False,0,1.6018,19.1457,30.6679,0.6549,0.9624,0,0,0,0,0,0,0,
110,False,False,False,0,1.5166,20.2683,30.7385,0.6684,0.9447,0,0,0,0,0,0,0,
111,False,False,False,0,1.4941,20.1218,30.0643,0.7167,0.9773,0,0,0,0,0,0,0,
112,False,False,False,0,1.4389,20.9546,30.1518,0.6965,0.969,0,0,0,0,0,0,0,
113,False,False,False,0,1.4478,21.4759,31.0929,0.7176,0.9377,0,0,0,0,0,0,0,
114,False,False,False,0,1.5771,22.2365,35.0684,0.5985,0.9727,0,0,0,0,0,0,0,
115,False,False,False,0,1.4805,23.6358,34.9937,0.7182,0.9143,0,0,0,0,0,0,0,
116,False,False,False,0,1.4846,23.9141,35.5036,0.7201,0.9781,0,0,0,0,0,0,0,
117,False,False,False,0,1.5928,24.2683,38.6551,0.7171,0.9582,0,0,0,0,0,0,0,
118,False,False,False,0,1.4861,25.5078,37.9079,0.7265,0.9477,0,0,0,0,0,0,0,
119,False,False,False,0,1.4847,25.9104,38.4702,0.7,0.9892,0,0,0,0,0,0,0,
120,False,False,False,0,1.4468,26.5833,38.4595,0.722,0.9855,0,0,0,0,0,0,0,
121,False,False,False,0,1.451,26.6183,38.6242,0.7545,0.9556,0,0,0,0,0,0,0,
122,False,False,False,0,1.4574,26.2718,38.2896,0.7393,0.9785,0,0,0,0,0,0,0,
123,False,False,False,0,1.4508,26.9044,39.0331,0.7058,0.9551,0,0,0,0,0,0,0,
124,False,False,False,0,1.4098,25.9343,36.5618,0.7467,0.9834,0,0,0,0,0,0,0,
