fov_id,density_score,density_label,overlap_score,overlap_label,empty_field_gated,coverage,otsu_threshold,otsu_separability,saturation_score,lbp_entropy,glcm_contrast,edge_density_unmasked,tile_glcm_cv,tile_glcm_patchiness,error
1,0.7407603194,very dense,0.6730110871,heavy rouleaux,False,0.4430600765,162,0.5941799991,0.1798026407,4.154984706,116.1191558,0.1949526786,0.05770915015,0.1136527495,
2,0.7263249426,very dense,0.6619187849,rouleaux,False,0.4170507653,163,0.5867458944,0.172347941,4.134806347,112.1021865,0.1966441327,0.07169369693,0.1642165532,
3,0.7229123481,very dense,0.6567101848,rouleaux,False,0.4248399235,163,0.5888474062,0.1746740365,4.11632937,116.9769332,0.1995862245,0.05708727885,0.08689425551,
4,0.7144915348,very dense,0.6522551721,rouleaux,False,0.3977792092,164,0.5867993212,0.1643626393,4.134253235,107.6352747,0.1928895408,0.07907632239,0.220138395,
5,0.702446817,dense,0.6425307013,rouleaux,False,0.3881502551,164,0.5771610099,0.1641250619,4.090630728,123.5269751,0.1996243622,0.08329381221,0.2071219085,
6,0.6970015427,dense,0.6311235683,rouleaux,False,0.397152551,164,0.5810335521,0.1663935936,4.109856174,117.5618445,0.1968174745,0.07035038509,0.1476323854,
7,0.6765989923,dense,0.6133757873,rouleaux,False,0.3724181122,165,0.5709936403,0.1597697386,4.098108839,114.8875699,0.1944303571,0.07276085595,0.1868775945,
8,0.6932939445,dense,0.6318012506,rouleaux,False,0.3907068878,164,0.5690293401,0.1683832052,4.072905539,113.4318905,0.1924341837,0.06915198551,0.1545856092,
9,0.7029607487,dense,0.6440572368,rouleaux,False,0.3890510204,164,0.563562625,0.1697964061,4.07493815,110.53237,0.189411352,0.08587014847,0.1711689242,
10,0.6985648312,dense,0.6377054552,rouleaux,False,0.3963484694,164,0.5688462093,0.170887145,4.064641484,114.7812216,0.1922783163,0.0678322357,0.1465884532,
11,0.69585389,dense,0.6336859849,rouleaux,False,0.3955322704,164,0.5669779276,0.1712742035,4.072357599,112.3978727,0.1903983418,0.06730695245,0.1331316177,
12,0.6968019046,dense,0.6375139087,rouleaux,False,0.391617602,164,0.5661520243,0.1699025039,4.059684686,111.6756458,0.1889617347,0.06845783195,0.1629847105,
13,0.6933047265,dense,0.6332957522,rouleaux,False,0.3893857143,164,0.5644288281,0.1696051919,4.059408404,108.663561,0.1864344388,0.07119432486,0.152712369,
14,0.6903688464,dense,0.6293523445,rouleaux,False,0.3914734694,164,0.566955009,0.169525625,4.054866387,107.2910216,0.1856451531,0.06518024549,0.1419656231,
15,0.7108684637,very dense,0.654580027,rouleaux,False,0.3948145408,164,0.5652180957,0.1716582179,4.058942371,99.60017236,0.1822531888,0.08087284956,0.1870360177,
16,0.7048289756,dense,0.654097863,rouleaux,False,0.3828603316,164,0.5528812813,0.1711840209,4.002027367,106.618743,0.1844139031,0.09774023573,0.1973356015,
17,0.6954758619,dense,0.6425914052,rouleaux,False,0.3846258929,164,0.5563662572,0.1706330244,3.997156168,105.1135313,0.1816503827,0.07983489562,0.1790115003,
18,0.6947756019,dense,0.6396245336,rouleaux,False,0.3844514031,164,0.5560424954,0.1706800855,4.0228721,102.6113099,0.1814215561,0.07920887517,0.1698256364,
