fov_id,density_score,density_label,overlap_score,overlap_label,empty_field_gated,coverage,otsu_threshold,otsu_separability,saturation_score,lbp_entropy,glcm_contrast,edge_density_unmasked,tile_glcm_cv,tile_glcm_patchiness,error
1,0.1768305129,sparser,0.2112976125,no rouleaux,False,0.05912270408,171,0.5848441079,0.02454513896,2.891313249,26.66756598,0.05280765306,0.2572568363,0.6059808819,
2,0.2178195387,sparser,0.2856192989,no rouleaux,False,0.03220612245,171,0.5182926687,0.0155139253,2.646665434,16.93307612,0.02880153061,0.2264897207,0.8957128569,
3,0.2499086823,sparser,0.3110845646,no rouleaux,False,0.06648316327,171,0.5793389715,0.02796687584,2.990506873,27.84886785,0.05930522959,0.2819732696,0.9083764004,
4,0.115851585,sparser,0.115382995,no rouleaux,False,0.08355038265,171,0.5866483932,0.03453568492,3.164409209,30.55465292,0.07180739796,0.2020074978,0.2804890209,
5,0.1367335742,sparser,0.1506124394,no rouleaux,False,0.07402168367,171,0.59602027,0.02990325979,3.033764951,28.57963022,0.06607512755,0.2234518507,0.4206896121,
6,0.1747451992,sparser,0.1852512204,no rouleaux,False,0.09255382653,170,0.5965102988,0.03734451581,3.185940306,32.45982999,0.07817882653,0.1980451962,0.4645039946,
7,0.1560600549,sparser,0.1359277552,no rouleaux,False,0.1033723214,171,0.6182524268,0.03946213284,3.285787253,38.54176657,0.09388992347,0.1433115321,0.2709320493,
8,0.1766417386,sparser,0.145414122,no rouleaux,False,0.1218063776,170,0.5991879966,0.04882145821,3.421705081,39.72440206,0.1025968112,0.09995597745,0.2341299342,
9,0.1816154189,sparser,0.1413450911,no rouleaux,False,0.1215438776,171,0.6070793608,0.04775709806,3.458528277,43.45222566,0.1104191327,0.09439273039,0.2045490253,
10,0.1939543558,sparser,0.1448770249,no rouleaux,False,0.1364223214,170,0.5981468324,0.054821742,3.527911599,44.56605034,0.1164126276,0.07981224106,0.1397237524,
11,0.2239250671,sparser,0.1787136958,no rouleaux,False,0.140480102,170,0.5965128248,0.05668191955,3.582031865,42.96526397,0.118507398,0.09045009431,0.2262944728,
12,0.227690895,sparser,0.1798253272,no rouleaux,False,0.1426457908,170,0.5899780817,0.05848790079,3.622647007,42.82034358,0.1190128827,0.09519450533,0.2078242329,
13,0.2346776807,sparser,0.1900295848,no rouleaux,False,0.1419457908,170,0.6171779563,0.05433997773,3.566121109,44.05187808,0.1215068878,0.08910975466,0.2679561702,
14,0.2293642819,sparser,0.1802914309,no rouleaux,False,0.1411085459,170,0.6115133985,0.05481877944,3.608272855,44.38400855,0.1216901786,0.07624544135,0.2473887971,
15,0.2159737083,sparser,0.1606225343,no rouleaux,False,0.1425297194,170,0.6044167622,0.05638236788,3.601169418,44.45596675,0.1236586735,0.08129291964,0.1584220554,
16,0.2029899315,sparser,0.149804079,no rouleaux,False,0.1389798469,170,0.6180415679,0.05308452442,3.559530119,43.51529719,0.1211360969,0.07320773306,0.1691573986,
17,0.2053179863,sparser,0.1543761834,no rouleaux,False,0.1362617347,170,0.6115378911,0.05293252082,3.557934818,43.47416265,0.1193968112,0.08158130973,0.1845274402,
18,0.1954687637,sparser,0.1475264012,no rouleaux,False,0.1259255102,171,0.6191492072,0.04795883039,3.540940836,43.65419964,0.1168473214,0.08773179514,0.2126835636,
19,0.1624513659,sparser,0.2062776784,no rouleaux,False,0.03296568878,172,0.5521657789,0.01476316356,2.649031117,18.06257084,0.03060293367,0.179986744,0.6824425081,
20,0.1851558974,sparser,0.2205135827,no rouleaux,False,0.06586326531,171,0.5813386827,0.02757440141,3.005641773,28.32305184,0.05846237245,0.280595525,0.6000897482,
21,0.1843785597,sparser,0.1621507149,no rouleaux,False,0.1133048469,170,0.5997179344,0.04535389817,3.328522417,41.36561099,0.09709438776,0.1809044761,0.2337999643,
22,0.1895032495,sparser,0.1545308097,no rouleaux,False,0.1275950255,170,0.603725854,0.05056260976,3.426629446,43.46394829,0.1092843112,0.08942649292,0.2240584826,
23,0.199463836,sparser,0.1696078086,no rouleaux,False,0.1264826531,170,0.6168540665,0.04846131418,3.399960871,41.91187375,0.1089419643,0.102328542,0.2845867585,
24,0.1834346377,sparser,0.1375059273,no rouleaux,False,0.1330938776,170,0.5975346136,0.05356567886,3.492289404,41.99477541,0.1130218112,0.086199221,0.1412519561,
25,0.2157198735,sparser,0.1741439892,no rouleaux,False,0.1351868622,170,0.6205814608,0.05129240179,3.492258248,45.74378495,0.1176880102,0.09497953592,0.2381231237,
26,0.2242586095,sparser,0.175961932,no rouleaux,False,0.1352118622,171,0.6025534377,0.05373948983,3.563589722,47.40231467,0.123026148,0.09712093752,0.2106744292,
27,0.2289443082,sparser,0.1843695872,no rouleaux,False,0.1343145408,171,0.6153362124,0.05166594,3.550016167,46.74555957,0.1214771684,0.0956499486,0.2617412707,
28,0.2322778254,sparser,0.1835787473,no rouleaux,False,0.1430494898,170,0.600419584,0.05715977464,3.601201791,44.73677488,0.1212066327,0.09883799155,0.2104441739,
29,0.2278865264,sparser,0.1769947184,no rouleaux,False,0.1437582908,170,0.61386358,0.05551031177,3.581186184,45.13650344,0.1233792092,0.08475284491,0.208939788,
30,0.2347537015,sparser,0.1798135701,no rouleaux,False,0.1472406888,170,0.6023206841,0.05855457638,3.652867011,45.54313496,0.124940051,0.07874146466,0.1938851837,
31,0.2412658431,sparser,0.1925123228,no rouleaux,False,0.1452423469,170,0.609670973,0.05669230395,3.607152199,45.65029647,0.1239006378,0.08516372105,0.2465740107,
32,0.2345101124,sparser,0.1747976494,no rouleaux,False,0.1505026786,170,0.59938404,0.06029377505,3.666080379,47.35604798,0.1287373724,0.07016099095,0.1537239585,
33,0.2380730478,sparser,0.1815411155,no rouleaux,False,0.1474280612,170,0.5979427921,0.05927451467,3.675997585,45.29128634,0.1258288265,0.08752124359,0.1844686008,
34,0.208510596,sparser,0.1607338194,no rouleaux,False,0.1344940051,171,0.6364963501,0.04888906175,3.567424098,45.31625517,0.1192979592,0.07063336394,0.2392092066,
35,0.1824950382,sparser,0.1279803622,no rouleaux,False,0.1287835459,171,0.605523849,0.0508020375,3.575559973,42.93181787,0.1180417092,0.06351152532,0.1530728773,
36,0.1785233183,sparser,0.1273131834,no rouleaux,False,0.1247404337,171,0.6133051477,0.04823648357,3.549652772,42.72766755,0.1145112245,0.06977005951,0.174753366,
37,0.2558606702,sparser,0.2316865024,no rouleaux,False,0.129909949,171,0.59095138,0.05313948535,3.443059152,54.76242907,0.1143228316,0.1506134097,0.3223939222,
38,0.2281552021,sparser,0.186168846,no rouleaux,False,0.1388644133,170,0.6021168593,0.05525180888,3.528531011,48.04643124,0.1172645408,0.1057826687,0.2198266009,
39,0.2590766051,sparser,0.217909298,no rouleaux,False,0.1457852041,170,0.5899959158,0.05977252909,3.60893295,47.53008442,0.1222034439,0.1065430384,0.278000708,
40,0.2607526489,sparser,0.2076244969,no rouleaux,False,0.1559565051,170,0.5865081624,0.06448674188,3.682281952,48.96574801,0.1288952806,0.08132146114,0.2028653452,
41,0.239119242,sparser,0.1889387042,no rouleaux,False,0.1459109694,170,0.5981118562,0.05863988865,3.602169597,47.92628931,0.124394898,0.09485120163,0.1957894723,
42,0.2443113015,sparser,0.1918833203,no rouleaux,False,0.152219898,170,0.5817925112,0.06365950127,3.674024239,46.10267427,0.1245056122,0.08245958537,0.1834009438,
43,0.256521415,sparser,0.2037833331,no rouleaux,False,0.1525839286,170,0.5898664026,0.06257979553,3.686858725,47.3444631,0.1277418367,0.08113471594,0.2206150532,
44,0.2383681052,sparser,0.1831320765,no rouleaux,False,0.1485701531,170,0.5897650197,0.06094867381,3.661737594,46.63273401,0.1270241071,0.07993948395,0.1768506404,
45,0.2514238243,sparser,0.2011248784,no rouleaux,False,0.1500933673,170,0.5912106109,0.06135657595,3.660420457,45.79260741,0.1252646684,0.09123490857,0.2247274046,
46,0.2477580295,sparser,0.1952810094,no rouleaux,False,0.1520100765,170,0.5837095612,0.06328034146,3.675251723,46.03662089,0.1248635204,0.09089177222,0.1876121289,
47,0.2552573885,sparser,0.206824845,no rouleaux,False,0.1505031888,170,0.5823413103,0.06285896461,3.682902956,45.16829202,0.1241598214,0.09013270757,0.2396572024,
48,0.2387030975,sparser,0.1778418137,no rouleaux,False,0.1506132653,170,0.5886268037,0.06195826036,3.725282337,46.7323092,0.1288767857,0.06458734704,0.1632287396,
49,0.264115991,sparser,0.2122363922,no rouleaux,False,0.1498008929,170,0.5947619128,0.06070502728,3.690462094,46.92113742,0.1293577806,0.09254329205,0.2545794701,
50,0.2442334265,sparser,0.1823364091,no rouleaux,False,0.1557852041,170,0.5735670558,0.06643194324,3.76902515,45.59678618,0.1266353316,0.08068472034,0.127089392,
51,0.2546578955,sparser,0.1962068935,no rouleaux,False,0.155515051,170,0.573913179,0.0662629137,3.767998727,46.10669219,0.1266397959,0.08621234085,0.1664428477,
52,0.2147058923,sparser,0.1512822621,no rouleaux,False,0.1427418367,171,0.5924558029,0.05817360724,3.69785619,46.13180177,0.1268442602,0.06232392045,0.1040852715,
53,0.2154539978,sparser,0.1642837991,no rouleaux,False,0.1343034439,171,0.5959488008,0.05426546756,3.625051864,44.54514694,0.1216345663,0.07628380579,0.2123494896,
54,0.1882629285,sparser,0.1328294629,no rouleaux,False,0.1315299745,171,0.5801999193,0.05521629391,3.642987376,43.42830414,0.1169825255,0.07078602781,0.1246329342,
55,0.2717689772,sparser,0.2222937666,no rouleaux,False,0.1414294643,171,0.6137604657,0.05462565042,3.510555178,55.87007595,0.1284220663,0.2218071184,0.1440679577,
56,0.3094866002,monolayer,0.2742979977,no rouleaux,False,0.1395167092,171,0.6067982903,0.05485820858,3.565198276,52.32132289,0.1264943878,0.2243064483,0.3425156452,
57,0.2665257778,sparser,0.2133223698,no rouleaux,False,0.1426385204,171,0.6033101951,0.05658324683,3.574622517,53.2265514,0.1300168367,0.1921693641,0.1465295408,
58,0.2694303741,sparser,0.2177370881,no rouleaux,False,0.1512140306,170,0.5946758207,0.06129070286,3.636851607,48.37397245,0.1270686224,0.1590716267,0.1807614095,
59,0.2584242606,sparser,0.2076612316,no rouleaux,False,0.1411839286,171,0.6050240066,0.05576426243,3.573542409,50.35375784,0.1258919643,0.1834829298,0.1672090812,
60,0.2599418128,sparser,0.2085712315,no rouleaux,False,0.1404299745,171,0.5977496205,0.05648801053,3.632724332,47.95685721,0.1255392857,0.1722538571,0.1946346739,
61,0.2690002091,sparser,0.2222673667,no rouleaux,False,0.1395468112,171,0.5996499477,0.05586757317,3.608985148,48.41365389,0.1255352041,0.1796814648,0.2357602147,
62,0.2522228673,sparser,0.2023340278,no rouleaux,False,0.1367542092,171,0.6041327782,0.05413650886,3.575387867,48.83974213,0.1231071429,0.1938671068,0.1693880622,
63,0.272685821,sparser,0.22920802,no rouleaux,False,0.1383348214,171,0.5861410251,0.05725110739,3.614629618,49.44332084,0.12333125,0.1923736365,0.2352849559,
64,0.2390944367,sparser,0.1918926313,no rouleaux,False,0.1347883929,171,0.6001490154,0.0538952716,3.580914516,45.48556261,0.1203987245,0.1598097048,0.2029315164,
65,0.2610110742,sparser,0.2174926363,no rouleaux,False,0.1379355867,171,0.5940982453,0.05598829669,3.65197235,46.11727305,0.1233655612,0.122910658,0.3063098663,
66,0.244212335,sparser,0.191205675,no rouleaux,False,0.1396668367,171,0.5958055364,0.05645256215,3.656907094,46.36133386,0.1253339286,0.1228310199,0.2063017467,
67,0.2512114784,sparser,0.2106198553,no rouleaux,False,0.1354052296,171,0.628975498,0.05023865788,3.549924192,47.83573816,0.1231112245,0.1301773746,0.3076509157,
68,0.2151834983,sparser,0.1566966519,no rouleaux,False,0.1374432398,171,0.5990183538,0.05511221656,3.616431756,46.89330924,0.1264336735,0.09239641223,0.1355116561,
70,0.2859250231,sparser,0.2996590798,no rouleaux,False,0.3662274235,3,0.9720927506,0.01022040004,2.465833296,0.08993746637,2.551020408e-07,6.391253886,0,
71,0.5633244607,slightly dense,0.566822743,rouleaux,False,0.3636391582,95,0.563768334,0.1586309158,3.543457795,43.65589085,0.1134627551,0.145083346,0.2898263649,
72,0.2126993619,sparser,0.1824041339,no rouleaux,False,0.1283844388,170,0.558169207,0.05672419839,3.537616083,40.97530881,0.1088085459,0.1167359943,0.2590939055,
73,0.4067795311,monolayer,0.4801736312,some rouleaux,False,0.1937415816,63,0.6418927841,0.06938025841,3.015898063,21.17282603,0.02921071429,0.4246157884,1.573511558,
74,0.2577818834,sparser,0.2441231569,no rouleaux,False,0.1189621173,171,0.5816934584,0.04976263189,3.426378483,43.79273822,0.1079593112,0.213075812,0.4051675288,
75,0.2855157009,sparser,0.2704755343,no rouleaux,False,0.1335391582,170,0.5688301586,0.05757805765,3.522972301,43.02960629,0.1095456633,0.2076405563,0.4183646338,
76,0.2757431931,sparser,0.2550498948,no rouleaux,False,0.1337028061,170,0.5700682615,0.05748307988,3.519860161,43.39839757,0.1106068878,0.2160854923,0.3527347711,
77,0.2385565017,sparser,0.2154737307,no rouleaux,False,0.127733801,170,0.5815166083,0.05345447428,3.439864467,42.06160873,0.1069561224,0.2016524326,0.2875779589,
78,0.2652002404,sparser,0.2491759931,no rouleaux,False,0.1283529337,170,0.5739834691,0.05468047153,3.46601326,42.06212151,0.107598852,0.2166882304,0.373813617,
79,0.2231751461,sparser,0.1973536655,no rouleaux,False,0.1246034439,170,0.5836150964,0.05188299297,3.428097251,41.79444406,0.1066691327,0.191486284,0.257721286,
80,0.2492432189,sparser,0.2307490013,no rouleaux,False,0.1277257653,170,0.5778219759,0.05392301123,3.469744994,41.78567864,0.1088706633,0.1664474024,0.3780926894,
81,0.2521870566,sparser,0.2357850128,no rouleaux,False,0.1290954082,170,0.5680338086,0.05576485179,3.481552633,42.7166149,0.108278699,0.1571188502,0.3870601417,
82,0.2277130519,sparser,0.2111659119,no rouleaux,False,0.1255964286,170,0.5638044758,0.0547846,3.463676352,39.77363052,0.1054118622,0.1324762319,0.3675042533,
83,0.2193723047,sparser,0.1974539287,no rouleaux,False,0.1249626276,170,0.5721629644,0.05346364013,3.450490333,39.84429764,0.1051642857,0.1553050727,0.3032700574,
84,0.2458601254,sparser,0.230511615,no rouleaux,False,0.1274417092,170,0.5691586552,0.05490715736,3.511528079,39.34653252,0.1055730867,0.1370461915,0.4245101639,
85,0.2072146293,sparser,0.1849474455,no rouleaux,False,0.1179104592,171,0.5934758835,0.04793344525,3.424510491,41.07965066,0.1063883929,0.1163521212,0.3517104559,
86,0.2294046767,sparser,0.2004982826,no rouleaux,False,0.1313905612,170,0.5821686208,0.05489909941,3.51913706,42.64075014,0.1120684949,0.1061481972,0.3243865605,
87,0.2107897578,sparser,0.1900316692,no rouleaux,False,0.1150200255,171,0.5868831316,0.04751671275,3.461774231,41.09841489,0.1052596939,0.114155776,0.3825814599,
88,0.184559807,sparser,0.1600671832,no rouleaux,False,0.111325,171,0.5843003044,0.04627776861,3.435593435,39.24231081,0.1016454082,0.1233492903,0.3011918445,
89,0.1910551316,sparser,0.1807341117,no rouleaux,False,0.104513648,171,0.5686249545,0.04508457964,3.409306311,37.7420242,0.09578762755,0.1304498345,0.4022755835,
90,0.1660411951,sparser,0.1582328444,no rouleaux,False,0.09999744898,171,0.5556033456,0.04443853178,3.36315046,35.81182468,0.09279183673,0.1155989251,0.3731068767,
91,0.3896954246,monolayer,0.4538599575,some rouleaux,False,0.1821933673,54,0.6722343335,0.05971673048,3.242609233,19.39497986,0.01633545918,0.3152612143,1.118966532,
92,0.3126616693,monolayer,0.2730094073,no rouleaux,False,0.1621357143,170,0.5744613469,0.06899501348,3.674848485,53.08315552,0.1305320153,0.1166188715,0.3141646041,
93,0.334789877,monolayer,0.2952482998,no rouleaux,False,0.1851079082,169,0.5645043302,0.08061369245,3.764413256,49.00014103,0.1241604592,0.1132766083,0.2940752794,
94,0.2986305253,monolayer,0.2548894298,no rouleaux,False,0.1656003827,170,0.5668309596,0.07173295884,3.702624545,49.69723123,0.1268632653,0.1168330571,0.2495798083,
95,0.2697174613,sparser,0.2312724707,no rouleaux,False,0.1563188776,170,0.566073154,0.0678309575,3.639468945,46.0625056,0.1189042092,0.1163616743,0.2468514794,
96,0.3025836223,monolayer,0.2737631027,no rouleaux,False,0.1543321429,170,0.5747260084,0.06563344643,3.626370072,47.00152485,0.1210701531,0.1353223124,0.3792190246,
97,0.2673031947,sparser,0.2325961501,no rouleaux,False,0.1517584184,170,0.5595912862,0.06683572984,3.650172991,44.15141054,0.1171258929,0.109121524,0.2901170551,
98,0.2594346352,sparser,0.2270328568,no rouleaux,False,0.144463648,170,0.569404844,0.06220534703,3.578099379,45.52540327,0.1171188776,0.1249445356,0.2917717891,
99,0.2572112493,sparser,0.2341104672,no rouleaux,False,0.140066199,170,0.5570540719,0.0620417525,3.595145404,40.80877187,0.1090317602,0.1243456284,0.3638792803,
100,0.2316677518,sparser,0.2023547176,no rouleaux,False,0.1379668367,170,0.5560295533,0.06125319813,3.595008113,39.96945429,0.1076493622,0.1109310005,0.2886384103,
101,0.2556291562,sparser,0.2298492956,no rouleaux,False,0.1407748724,170,0.5574489256,0.06230007105,3.613726374,40.81173011,0.1095290816,0.1223985863,0.3477786147,
102,0.2382849703,sparser,0.2052898441,no rouleaux,False,0.1382340561,170,0.5662008895,0.05996581059,3.575714292,43.21502214,0.1134098214,0.1172242344,0.2737871777,
103,0.2526699591,sparser,0.2235454817,no rouleaux,False,0.1356922194,170,0.5819391253,0.05672760792,3.550088212,43.93241445,0.115057398,0.1282967609,0.3431727234,
104,0.2430857392,sparser,0.2199528938,no rouleaux,False,0.1230982143,171,0.585220716,0.05105858919,3.505025632,44.27848539,0.1137684949,0.1216134251,0.4053333718,
