fov_id,n_detected,ratio_to_median,robust_zscore
1,393,0.9899,-0.034812
2,458,1.1537,0.53089
3,475,1.1965,0.678842
4,531,1.3375,1.166216
5,828,2.0856,3.751039
6,1249,3.1461,7.415047
7,546,1.3753,1.296763
8,395,0.995,-0.017406
9,422,1.063,0.217578
10,467,1.1763,0.609217
11,392,0.9874,-0.043516
12,316,0.796,-0.704952
13,484,1.2191,0.75717
14,612,1.5416,1.871168
15,670,1.6877,2.375948
16,637,1.6045,2.088746
17,734,1.8489,2.932947
18,680,1.7128,2.462979
19,419,1.0554,0.191468
20,404,1.0176,0.060922
21,670,1.6877,2.375948
22,590,1.4861,1.6797
23,410,1.0327,0.11314
24,395,0.995,-0.017406
25,384,0.9673,-0.11314
26,305,0.7683,-0.800686
27,408,1.0277,0.095734
28,547,1.3778,1.305466
29,374,0.9421,-0.200171
30,311,0.7834,-0.748467
31,341,0.8589,-0.487374
32,426,1.073,0.25239
33,496,1.2494,0.861608
34,721,1.8161,2.819807
35,1050,2.6448,5.683129
36,575,1.4484,1.549153
37,490,1.2343,0.809389
38,434,1.0932,0.322015
39,383,0.9647,-0.121843
40,419,1.0554,0.191468
41,442,1.1134,0.39164
42,496,1.2494,0.861608
43,504,1.2695,0.931232
44,498,1.2544,0.879014
45,562,1.4156,1.436013
46,454,1.1436,0.496077
47,468,1.1788,0.617921
48,491,1.2368,0.818092
49,497,1.2519,0.870311
50,524,1.3199,1.105295
51,548,1.3804,1.314169
52,567,1.4282,1.479528
53,497,1.2519,0.870311
54,443,1.1159,0.400343
55,502,1.2645,0.913826
56,435,1.0957,0.330718
57,503,1.267,0.922529
58,499,1.2569,0.887717
59,513,1.2922,1.00956
60,429,1.0806,0.278499
61,520,1.3098,1.070482
62,518,1.3048,1.053076
63,438,1.1033,0.356827
64,413,1.0403,0.13925
65,436,1.0982,0.339421
66,424,1.068,0.234984
67,474,1.194,0.670139
68,508,1.2796,0.966045
69,417,1.0504,0.174062
70,483,1.2166,0.748467
71,380,0.9572,-0.147953
72,365,0.9194,-0.278499
73,404,1.0176,0.060922
74,337,0.8489,-0.522186
75,291,0.733,-0.922529
76,493,1.2418,0.835498
77,514,1.2947,1.018263
78,470,1.1839,0.635327
79,382,0.9622,-0.130547
80,359,0.9043,-0.330718
81,340,0.8564,-0.496077
82,345,0.869,-0.452562
83,296,0.7456,-0.879014
84,382,0.9622,-0.130547
85,574,1.4458,1.54045
86,514,1.2947,1.018263
87,496,1.2494,0.861608
88,528,1.33,1.140107
89,465,1.1713,0.591811
90,393,0.9899,-0.034812
91,319,0.8035,-0.678842
92,332,0.8363,-0.565702
93,267,0.6725,-1.131404
94,367,0.9244,-0.261093
95,335,0.8438,-0.539593
96,400,1.0076,0.026109
97,375,0.9446,-0.191468
98,381,0.9597,-0.13925
99,305,0.7683,-0.800686
100,365,0.9194,-0.278499
101,287,0.7229,-0.957342
102,311,0.7834,-0.748467
103,448,1.1285,0.443858
104,474,1.194,0.670139
105,629,1.5844,2.019121
106,530,1.335,1.157513
107,450,1.1335,0.461265
108,414,1.0428,0.147953
109,523,1.3174,1.096591
110,483,1.2166,0.748467
111,350,0.8816,-0.409046
112,352,0.8866,-0.39164
113,353,0.8892,-0.382937
114,439,1.1058,0.36553
115,340,0.8564,-0.496077
116,294,0.7406,-0.89642
117,306,0.7708,-0.791983
118,363,0.9144,-0.295906
119,354,0.8917,-0.374234
120,398,1.0025,0.008703
121,599,1.5088,1.758028
122,542,1.3652,1.26195
123,690,1.738,2.55001
124,596,1.5013,1.731918
125,479,1.2065,0.713655
126,397,1.0,0.0
127,447,1.1259,0.435155
128,472,1.1889,0.652733
129,339,0.8539,-0.50478
130,401,1.0101,0.034812
131,341,0.8589,-0.487374
132,363,0.9144,-0.295906
133,315,0.7935,-0.713655
134,334,0.8413,-0.548296
135,413,1.0403,0.13925
136,593,1.4937,1.705809
137,2215,5.5793,15.822248
138,292,0.7355,-0.913826
139,385,0.9698,-0.104437
140,481,1.2116,0.731061
141,706,1.7783,2.68926
142,475,1.1965,0.678842
143,446,1.1234,0.426452
144,459,1.1562,0.539593
145,331,0.8338,-0.574405
146,541,1.3627,1.253247
147,421,1.0605,0.208875
148,357,0.8992,-0.348124
149,308,0.7758,-0.774576
150,240,0.6045,-1.366388
151,314,0.7909,-0.722358
152,248,0.6247,-1.296763
153,229,0.5768,-1.462122
154,249,0.6272,-1.28806
155,387,0.9748,-0.087031
156,311,0.7834,-0.748467
157,391,0.9849,-0.052219
158,433,1.0907,0.313312
159,763,1.9219,3.185337
160,422,1.063,0.217578
161,385,0.9698,-0.104437
162,420,1.0579,0.200171
163,484,1.2191,0.75717
164,545,1.3728,1.28806
165,449,1.131,0.452562
166,451,1.136,0.469968
167,389,0.9798,-0.069625
168,380,0.9572,-0.147953
169,319,0.8035,-0.678842
170,300,0.7557,-0.844201
171,312,0.7859,-0.739764
172,398,1.0025,0.008703
173,310,0.7809,-0.75717
174,278,0.7003,-1.03567
175,480,1.2091,0.722358
176,446,1.1234,0.426452
177,854,2.1511,3.97732
178,487,1.2267,0.78328
179,436,1.0982,0.339421
180,403,1.0151,0.052219
181,474,1.194,0.670139
182,508,1.2796,0.966045
183,482,1.2141,0.739764
184,382,0.9622,-0.130547
185,319,0.8035,-0.678842
186,466,1.1738,0.600514
187,358,0.9018,-0.339421
188,334,0.8413,-0.548296
189,339,0.8539,-0.50478
190,379,0.9547,-0.156656
191,322,0.8111,-0.652733
192,282,0.7103,-1.000857
193,437,1.1008,0.348124
194,420,1.0579,0.200171
195,663,1.67,2.315026
196,536,1.3501,1.209732
197,407,1.0252,0.087031
198,369,0.9295,-0.243687
199,416,1.0479,0.165359
200,482,1.2141,0.739764
201,456,1.1486,0.513483
202,382,0.9622,-0.130547
203,405,1.0202,0.069625
204,416,1.0479,0.165359
205,386,0.9723,-0.095734
206,367,0.9244,-0.261093
207,295,0.7431,-0.887717
208,371,0.9345,-0.226281
209,229,0.5768,-1.462122
210,238,0.5995,-1.383794
211,278,0.7003,-1.03567
212,365,0.9194,-0.278499
213,549,1.3829,1.322872
214,480,1.2091,0.722358
215,312,0.7859,-0.739764
216,303,0.7632,-0.818092
217,454,1.1436,0.496077
218,488,1.2292,0.791983
219,429,1.0806,0.278499
220,384,0.9673,-0.11314
221,430,1.0831,0.287203
222,439,1.1058,0.36553
223,406,1.0227,0.078328
224,299,0.7531,-0.852904
225,371,0.9345,-0.226281
226,341,0.8589,-0.487374
227,261,0.6574,-1.183622
228,262,0.6599,-1.174919
229,327,0.8237,-0.609217
230,397,1.0,0.0
231,510,1.2846,0.983451
232,457,1.1511,0.522186
233,382,0.9622,-0.130547
234,288,0.7254,-0.948639
235,452,1.1385,0.478671
236,485,1.2217,0.765873
237,418,1.0529,0.182765
238,542,1.3652,1.26195
239,380,0.9572,-0.147953
240,353,0.8892,-0.382937
241,351,0.8841,-0.400343
242,380,0.9572,-0.147953
243,304,0.7657,-0.809389
244,290,0.7305,-0.931232
245,264,0.665,-1.157513
246,435,1.0957,0.330718
247,401,1.0101,0.034812
248,320,0.806,-0.670139
249,425,1.0705,0.243687
250,317,0.7985,-0.696249
251,289,0.728,-0.939936
252,295,0.7431,-0.887717
253,388,0.9773,-0.078328
254,482,1.2141,0.739764
255,404,1.0176,0.060922
256,460,1.1587,0.548296
257,396,0.9975,-0.008703
258,397,1.0,0.0
259,368,0.927,-0.25239
260,452,1.1385,0.478671
261,398,1.0025,0.008703
262,319,0.8035,-0.678842
263,390,0.9824,-0.060922
264,432,1.0882,0.304609
265,288,0.7254,-0.948639
266,214,0.539,-1.592669
267,214,0.539,-1.592669
268,197,0.4962,-1.740621
269,276,0.6952,-1.053076
270,247,0.6222,-1.305466
271,388,0.9773,-0.078328
272,452,1.1385,0.478671
273,349,0.8791,-0.417749
274,416,1.0479,0.165359
275,381,0.9597,-0.13925
276,411,1.0353,0.121843
277,352,0.8866,-0.39164
278,464,1.1688,0.583108
279,472,1.1889,0.652733
280,274,0.6902,-1.070482
281,288,0.7254,-0.948639
282,267,0.6725,-1.131404
283,301,0.7582,-0.835498
284,171,0.4307,-1.966902
285,290,0.7305,-0.931232
286,242,0.6096,-1.348982
287,239,0.602,-1.375091
288,236,0.5945,-1.4012
289,335,0.8438,-0.539593
290,387,0.9748,-0.087031
291,353,0.8892,-0.382937
292,369,0.9295,-0.243687
293,312,0.7859,-0.739764
294,448,1.1285,0.443858
295,461,1.1612,0.556999
296,521,1.3123,1.079185
297,447,1.1259,0.435155
298,308,0.7758,-0.774576
299,204,0.5139,-1.6797
300,208,0.5239,-1.644887
301,202,0.5088,-1.697106
302,240,0.6045,-1.366388
303,262,0.6599,-1.174919
304,293,0.738,-0.905123
305,222,0.5592,-1.523044
306,311,0.7834,-0.748467
307,227,0.5718,-1.479528
308,336,0.8463,-0.53089
309,307,0.7733,-0.78328
310,303,0.7632,-0.818092
311,335,0.8438,-0.539593
312,447,1.1259,0.435155
313,575,1.4484,1.549153
314,488,1.2292,0.791983
315,286,0.7204,-0.966045
316,273,0.6877,-1.079185
317,192,0.4836,-1.784137
318,227,0.5718,-1.479528
319,235,0.5919,-1.409903
320,248,0.6247,-1.296763
321,242,0.6096,-1.348982
322,250,0.6297,-1.279357
323,237,0.597,-1.392497
324,244,0.6146,-1.331575
