fov_id,n_detected,ratio_to_median,robust_zscore
1,168,2.383,2.156159
2,196,2.7801,2.775364
3,165,2.3404,2.089816
4,211,2.9929,3.10708
5,659,9.3475,13.014354
6,195,2.766,2.753249
7,217,3.078,3.239767
8,101,1.4326,0.674491
9,66,0.9362,-0.099515
10,56,0.7943,-0.32066
11,60,0.8511,-0.232202
12,46,0.6525,-0.541804
13,56,0.7943,-0.32066
14,81,1.1489,0.232202
15,138,1.9574,1.492725
16,101,1.4326,0.674491
17,99,1.4043,0.630262
18,35,0.4965,-0.785063
19,156,2.2128,1.890786
20,137,1.9433,1.470611
21,143,2.0284,1.603298
22,128,1.8156,1.271581
23,93,1.3191,0.497575
24,83,1.1773,0.276431
25,110,1.5603,0.873521
26,102,1.4468,0.696605
27,61,0.8652,-0.210087
28,41,0.5816,-0.652376
29,50,0.7092,-0.453346
30,60,0.8511,-0.232202
31,42,0.5957,-0.630262
32,58,0.8227,-0.276431
33,73,1.0355,0.055286
34,86,1.2199,0.342774
35,58,0.8227,-0.276431
36,22,0.3121,-1.072551
37,260,3.6879,4.190688
38,199,2.8227,2.841707
39,170,2.4113,2.200388
40,137,1.9433,1.470611
41,68,0.9645,-0.055286
42,98,1.3901,0.608147
43,134,1.9007,1.404268
44,95,1.3475,0.541804
45,90,1.2766,0.431232
46,28,0.3972,-0.939864
47,41,0.5816,-0.652376
48,69,0.9787,-0.033172
49,65,0.922,-0.121629
50,42,0.5957,-0.630262
51,60,0.8511,-0.232202
52,89,1.2624,0.409117
53,79,1.1206,0.187973
54,64,0.9078,-0.143744
55,277,3.9291,4.566634
56,242,3.4326,3.792628
57,177,2.5106,2.355189
58,148,2.0993,1.71387
59,42,0.5957,-0.630262
60,90,1.2766,0.431232
61,129,1.8298,1.293695
62,145,2.0567,1.647527
63,111,1.5745,0.895635
64,50,0.7092,-0.453346
65,28,0.3972,-0.939864
66,33,0.4681,-0.829292
67,75,1.0638,0.099515
68,55,0.7801,-0.342774
69,55,0.7801,-0.342774
70,52,0.7376,-0.409117
71,72,1.0213,0.033172
72,58,0.8227,-0.276431
73,176,2.4965,2.333075
74,254,3.6028,4.058002
75,152,2.156,1.802328
76,105,1.4894,0.762949
77,53,0.7518,-0.387003
78,80,1.1348,0.210087
79,99,1.4043,0.630262
80,56,0.7943,-0.32066
81,64,0.9078,-0.143744
82,58,0.8227,-0.276431
83,32,0.4539,-0.851406
84,33,0.4681,-0.829292
85,24,0.3404,-1.028322
86,62,0.8794,-0.187973
87,34,0.4823,-0.807177
88,36,0.5106,-0.762949
89,65,0.922,-0.121629
90,53,0.7518,-0.387003
91,131,1.8582,1.337924
92,183,2.5957,2.487876
93,156,2.2128,1.890786
94,122,1.7305,1.138894
95,116,1.6454,1.006208
96,59,0.8369,-0.254316
97,36,0.5106,-0.762949
98,39,0.5532,-0.696605
99,42,0.5957,-0.630262
100,42,0.5957,-0.630262
101,50,0.7092,-0.453346
102,22,0.3121,-1.072551
103,27,0.383,-0.961979
104,27,0.383,-0.961979
105,54,0.766,-0.364888
106,43,0.6099,-0.608147
107,49,0.695,-0.475461
108,47,0.6667,-0.51969
109,208,2.9504,3.040737
110,212,3.0071,3.129195
111,105,1.4894,0.762949
112,70,0.9929,-0.011057
113,106,1.5035,0.785063
114,83,1.1773,0.276431
115,62,0.8794,-0.187973
116,55,0.7801,-0.342774
117,34,0.4823,-0.807177
118,45,0.6383,-0.563919
119,38,0.539,-0.71872
120,23,0.3262,-1.050436
121,22,0.3121,-1.072551
122,21,0.2979,-1.094665
123,40,0.5674,-0.674491
124,56,0.7943,-0.32066
125,28,0.3972,-0.939864
126,36,0.5106,-0.762949
127,181,2.5674,2.443647
128,95,1.3475,0.541804
129,64,0.9078,-0.143744
130,70,0.9929,-0.011057
131,76,1.078,0.121629
132,79,1.1206,0.187973
133,67,0.9504,-0.077401
134,96,1.3617,0.563919
135,44,0.6241,-0.586033
136,57,0.8085,-0.298545
137,39,0.5532,-0.696605
138,33,0.4681,-0.829292
139,32,0.4539,-0.851406
140,27,0.383,-0.961979
141,31,0.4397,-0.873521
142,53,0.7518,-0.387003
143,20,0.2837,-1.11678
144,21,0.2979,-1.094665
145,162,2.2979,2.023472
146,98,1.3901,0.608147
147,50,0.7092,-0.453346
148,58,0.8227,-0.276431
149,54,0.766,-0.364888
150,126,1.7872,1.227352
151,224,3.1773,3.394568
152,310,4.3972,5.296411
153,35,0.4965,-0.785063
154,53,0.7518,-0.387003
155,26,0.3688,-0.984093
156,47,0.6667,-0.51969
157,36,0.5106,-0.762949
158,28,0.3972,-0.939864
159,34,0.4823,-0.807177
160,48,0.6809,-0.497575
161,49,0.695,-0.475461
162,28,0.3972,-0.939864
163,131,1.8582,1.337924
164,110,1.5603,0.873521
165,80,1.1348,0.210087
166,92,1.305,0.475461
167,115,1.6312,0.984093
168,135,1.9149,1.426382
169,172,2.4397,2.244617
170,246,3.4894,3.881086
171,85,1.2057,0.32066
172,73,1.0355,0.055286
173,40,0.5674,-0.674491
174,242,3.4326,3.792628
175,70,0.9929,-0.011057
176,52,0.7376,-0.409117
177,48,0.6809,-0.497575
178,68,0.9645,-0.055286
179,79,1.1206,0.187973
180,32,0.4539,-0.851406
181,155,2.1986,1.868671
182,157,2.227,1.9129
183,172,2.4397,2.244617
184,93,1.3191,0.497575
185,81,1.1489,0.232202
186,160,2.2695,1.979243
187,192,2.7234,2.686906
188,121,1.7163,1.11678
189,84,1.1915,0.298545
190,33,0.4681,-0.829292
191,29,0.4113,-0.91775
192,111,1.5745,0.895635
193,45,0.6383,-0.563919
194,26,0.3688,-0.984093
195,28,0.3972,-0.939864
196,22,0.3121,-1.072551
197,49,0.695,-0.475461
198,56,0.7943,-0.32066
199,107,1.5177,0.807177
200,106,1.5035,0.785063
201,96,1.3617,0.563919
202,62,0.8794,-0.187973
203,63,0.8936,-0.165858
204,113,1.6028,0.939864
205,153,2.1702,1.824442
206,198,2.8085,2.819593
207,57,0.8085,-0.298545
208,25,0.3546,-1.006208
209,43,0.6099,-0.608147
210,36,0.5106,-0.762949
211,23,0.3262,-1.050436
212,32,0.4539,-0.851406
213,19,0.2695,-1.138894
214,15,0.2128,-1.227352
215,29,0.4113,-0.91775
216,49,0.695,-0.475461
217,182,2.5816,2.465761
218,138,1.9574,1.492725
219,157,2.227,1.9129
220,107,1.5177,0.807177
221,80,1.1348,0.210087
222,93,1.3191,0.497575
223,89,1.2624,0.409117
224,55,0.7801,-0.342774
225,52,0.7376,-0.409117
226,50,0.7092,-0.453346
227,38,0.539,-0.71872
228,48,0.6809,-0.497575
229,45,0.6383,-0.563919
230,30,0.4255,-0.895635
231,38,0.539,-0.71872
232,32,0.4539,-0.851406
233,24,0.3404,-1.028322
234,46,0.6525,-0.541804
235,172,2.4397,2.244617
236,128,1.8156,1.271581
237,94,1.3333,0.51969
238,115,1.6312,0.984093
239,96,1.3617,0.563919
240,102,1.4468,0.696605
241,71,1.0071,0.011057
242,54,0.766,-0.364888
243,38,0.539,-0.71872
244,33,0.4681,-0.829292
245,39,0.5532,-0.696605
246,60,0.8511,-0.232202
247,44,0.6241,-0.586033
248,57,0.8085,-0.298545
249,50,0.7092,-0.453346
250,36,0.5106,-0.762949
251,35,0.4965,-0.785063
252,47,0.6667,-0.51969
253,111,1.5745,0.895635
254,108,1.5319,0.829292
255,132,1.8723,1.360039
256,216,3.0638,3.217653
257,89,1.2624,0.409117
258,101,1.4326,0.674491
259,101,1.4326,0.674491
260,58,0.8227,-0.276431
261,68,0.9645,-0.055286
262,48,0.6809,-0.497575
263,44,0.6241,-0.586033
264,51,0.7234,-0.431232
265,81,1.1489,0.232202
266,47,0.6667,-0.51969
267,90,1.2766,0.431232
268,48,0.6809,-0.497575
269,46,0.6525,-0.541804
270,100,1.4184,0.652376
271,85,1.2057,0.32066
272,140,1.9858,1.536954
273,195,2.766,2.753249
274,155,2.1986,1.868671
275,81,1.1489,0.232202
276,99,1.4043,0.630262
277,96,1.3617,0.563919
278,73,1.0355,0.055286
279,69,0.9787,-0.033172
280,74,1.0496,0.077401
281,76,1.078,0.121629
282,53,0.7518,-0.387003
283,45,0.6383,-0.563919
284,69,0.9787,-0.033172
285,85,1.2057,0.32066
286,42,0.5957,-0.630262
287,76,1.078,0.121629
