fov_id,n_detected,ratio_to_median,robust_zscore
1,97,1.5645,1.31151
2,58,0.9355,-0.149887
3,44,0.7097,-0.674491
4,54,0.871,-0.299774
5,75,1.2097,0.487132
6,91,1.4677,1.08668
7,100,1.6129,1.423925
8,73,1.1774,0.412189
9,62,1.0,0.0
10,62,1.0,0.0
11,54,0.871,-0.299774
12,60,0.9677,-0.074943
13,95,1.5323,1.236566
14,85,1.371,0.861849
15,58,0.9355,-0.149887
16,65,1.0484,0.112415
17,809,13.0484,27.991367
18,44,0.7097,-0.674491
19,49,0.7903,-0.487132
20,44,0.7097,-0.674491
21,53,0.8548,-0.337245
22,69,1.1129,0.262302
23,141,2.2742,2.960265
24,70,1.129,0.299774
25,50,0.8065,-0.449661
26,63,1.0161,0.037472
27,66,1.0645,0.149887
28,62,1.0,0.0
29,28,0.4516,-1.274038
30,38,0.6129,-0.899321
31,44,0.7097,-0.674491
32,49,0.7903,-0.487132
33,66,1.0645,0.149887
34,43,0.6935,-0.711962
35,52,0.8387,-0.374717
36,67,1.0806,0.187359
37,91,1.4677,1.08668
38,50,0.8065,-0.449661
39,88,1.4194,0.974264
40,74,1.1935,0.449661
41,90,1.4516,1.049208
42,57,0.9194,-0.187359
43,42,0.6774,-0.749434
44,61,0.9839,-0.037472
45,41,0.6613,-0.786906
46,59,0.9516,-0.112415
47,48,0.7742,-0.524604
48,32,0.5161,-1.124151
49,93,1.5,1.161623
50,48,0.7742,-0.524604
51,51,0.8226,-0.412189
52,46,0.7419,-0.599547
53,100,1.6129,1.423925
54,70,1.129,0.299774
55,76,1.2258,0.524604
56,96,1.5484,1.274038
57,83,1.3387,0.786906
58,99,1.5968,1.386453
59,78,1.2581,0.599547
60,45,0.7258,-0.637019
61,58,0.9355,-0.149887
62,60,0.9677,-0.074943
63,59,0.9516,-0.112415
64,77,1.2419,0.562076
65,50,0.8065,-0.449661
66,59,0.9516,-0.112415
67,77,1.2419,0.562076
68,40,0.6452,-0.824378
69,38,0.6129,-0.899321
70,49,0.7903,-0.487132
71,81,1.3065,0.711962
72,91,1.4677,1.08668
73,86,1.3871,0.899321
74,100,1.6129,1.423925
75,323,5.2097,9.780116
76,345,5.5645,10.604494
77,596,9.6129,20.009893
78,88,1.4194,0.974264
79,55,0.8871,-0.262302
80,51,0.8226,-0.412189
81,33,0.5323,-1.08668
82,41,0.6613,-0.786906
83,37,0.5968,-0.936793
84,49,0.7903,-0.487132
85,62,1.0,0.0
86,45,0.7258,-0.637019
87,52,0.8387,-0.374717
88,57,0.9194,-0.187359
89,64,1.0323,0.074943
90,92,1.4839,1.124151
91,84,1.3548,0.824378
92,42,0.6774,-0.749434
93,123,1.9839,2.285774
94,179,2.8871,4.38419
95,181,2.9194,4.459133
96,73,1.1774,0.412189
97,28,0.4516,-1.274038
98,33,0.5323,-1.08668
99,28,0.4516,-1.274038
100,71,1.1452,0.337245
101,68,1.0968,0.22483
102,44,0.7097,-0.674491
103,88,1.4194,0.974264
104,71,1.1452,0.337245
105,69,1.1129,0.262302
106,66,1.0645,0.149887
107,72,1.1613,0.374717
108,84,1.3548,0.824378
109,71,1.1452,0.337245
110,71,1.1452,0.337245
111,59,0.9516,-0.112415
112,54,0.871,-0.299774
113,53,0.8548,-0.337245
114,22,0.3548,-1.498868
115,20,0.3226,-1.573812
116,46,0.7419,-0.599547
117,52,0.8387,-0.374717
118,45,0.7258,-0.637019
119,54,0.871,-0.299774
120,57,0.9194,-0.187359
121,75,1.2097,0.487132
122,85,1.371,0.861849
123,76,1.2258,0.524604
124,93,1.5,1.161623
125,79,1.2742,0.637019
126,103,1.6613,1.53634
127,62,1.0,0.0
128,85,1.371,0.861849
129,93,1.5,1.161623
130,96,1.5484,1.274038
131,27,0.4355,-1.31151
132,31,0.5,-1.161623
133,51,0.8226,-0.412189
134,51,0.8226,-0.412189
135,42,0.6774,-0.749434
136,85,1.371,0.861849
137,77,1.2419,0.562076
138,126,2.0323,2.398189
139,81,1.3065,0.711962
140,91,1.4677,1.08668
141,81,1.3065,0.711962
142,76,1.2258,0.524604
143,86,1.3871,0.899321
144,108,1.7419,1.723699
145,53,0.8548,-0.337245
146,122,1.9677,2.248303
147,118,1.9032,2.098416
148,30,0.4839,-1.199095
149,68,1.0968,0.22483
150,65,1.0484,0.112415
151,53,0.8548,-0.337245
152,76,1.2258,0.524604
153,66,1.0645,0.149887
154,50,0.8065,-0.449661
155,76,1.2258,0.524604
156,87,1.4032,0.936793
157,111,1.7903,1.836114
158,120,1.9355,2.173359
159,78,1.2581,0.599547
160,106,1.7097,1.648755
161,88,1.4194,0.974264
162,129,2.0806,2.510604
163,33,0.5323,-1.08668
164,32,0.5161,-1.124151
165,36,0.5806,-0.974264
166,39,0.629,-0.861849
167,37,0.5968,-0.936793
168,32,0.5161,-1.124151
169,41,0.6613,-0.786906
170,22,0.3548,-1.498868
171,29,0.4677,-1.236566
172,73,1.1774,0.412189
173,62,1.0,0.0
174,70,1.129,0.299774
175,96,1.5484,1.274038
176,121,1.9516,2.210831
177,92,1.4839,1.124151
178,134,2.1613,2.697963
179,64,1.0323,0.074943
180,98,1.5806,1.348982
181,28,0.4516,-1.274038
182,80,1.2903,0.674491
183,46,0.7419,-0.599547
184,31,0.5,-1.161623
185,23,0.371,-1.461397
186,30,0.4839,-1.199095
187,34,0.5484,-1.049208
188,29,0.4677,-1.236566
189,63,1.0161,0.037472
190,82,1.3226,0.749434
191,57,0.9194,-0.187359
192,68,1.0968,0.22483
193,69,1.1129,0.262302
194,91,1.4677,1.08668
195,71,1.1452,0.337245
196,101,1.629,1.461397
197,91,1.4677,1.08668
198,50,0.8065,-0.449661
199,20,0.3226,-1.573812
200,53,0.8548,-0.337245
201,61,0.9839,-0.037472
202,30,0.4839,-1.199095
203,40,0.6452,-0.824378
204,28,0.4516,-1.274038
205,30,0.4839,-1.199095
206,56,0.9032,-0.22483
207,64,1.0323,0.074943
208,104,1.6774,1.573812
209,50,0.8065,-0.449661
210,81,1.3065,0.711962
211,71,1.1452,0.337245
212,76,1.2258,0.524604
213,58,0.9355,-0.149887
214,67,1.0806,0.187359
215,163,2.629,3.784643
216,124,2.0,2.323246
217,45,0.7258,-0.637019
218,44,0.7097,-0.674491
219,33,0.5323,-1.08668
220,31,0.5,-1.161623
221,34,0.5484,-1.049208
222,44,0.7097,-0.674491
223,56,0.9032,-0.22483
224,54,0.871,-0.299774
225,40,0.6452,-0.824378
226,50,0.8065,-0.449661
227,78,1.2581,0.599547
228,44,0.7097,-0.674491
229,81,1.3065,0.711962
230,43,0.6935,-0.711962
231,46,0.7419,-0.599547
232,80,1.2903,0.674491
233,86,1.3871,0.899321
234,92,1.4839,1.124151
235,47,0.7581,-0.562076
236,51,0.8226,-0.412189
237,55,0.8871,-0.262302
238,23,0.371,-1.461397
239,31,0.5,-1.161623
240,48,0.7742,-0.524604
241,53,0.8548,-0.337245
242,47,0.7581,-0.562076
243,46,0.7419,-0.599547
244,46,0.7419,-0.599547
245,41,0.6613,-0.786906
246,52,0.8387,-0.374717
247,75,1.2097,0.487132
248,77,1.2419,0.562076
249,93,1.5,1.161623
250,116,1.871,2.023472
251,93,1.5,1.161623
252,86,1.3871,0.899321
253,24,0.3871,-1.423925
254,39,0.629,-0.861849
255,33,0.5323,-1.08668
256,23,0.371,-1.461397
257,55,0.8871,-0.262302
258,28,0.4516,-1.274038
259,65,1.0484,0.112415
260,40,0.6452,-0.824378
261,72,1.1613,0.374717
262,63,1.0161,0.037472
263,67,1.0806,0.187359
264,104,1.6774,1.573812
265,83,1.3387,0.786906
266,94,1.5161,1.199095
267,75,1.2097,0.487132
268,104,1.6774,1.573812
269,99,1.5968,1.386453
270,126,2.0323,2.398189
271,35,0.5645,-1.011736
272,64,1.0323,0.074943
273,39,0.629,-0.861849
274,26,0.4194,-1.348982
275,29,0.4677,-1.236566
276,56,0.9032,-0.22483
277,50,0.8065,-0.449661
278,61,0.9839,-0.037472
279,57,0.9194,-0.187359
280,45,0.7258,-0.637019
281,53,0.8548,-0.337245
282,80,1.2903,0.674491
283,85,1.371,0.861849
284,81,1.3065,0.711962
285,66,1.0645,0.149887
286,70,1.129,0.299774
287,97,1.5645,1.31151
288,111,1.7903,1.836114
289,20,0.3226,-1.573812
290,45,0.7258,-0.637019
291,27,0.4355,-1.31151
292,44,0.7097,-0.674491
293,54,0.871,-0.299774
294,76,1.2258,0.524604
295,105,1.6935,1.611283
296,76,1.2258,0.524604
297,64,1.0323,0.074943
298,45,0.7258,-0.637019
299,30,0.4839,-1.199095
300,59,0.9516,-0.112415
301,93,1.5,1.161623
302,67,1.0806,0.187359
303,74,1.1935,0.449661
304,79,1.2742,0.637019
305,59,0.9516,-0.112415
306,73,1.1774,0.412189
307,52,0.8387,-0.374717
308,38,0.6129,-0.899321
309,45,0.7258,-0.637019
310,42,0.6774,-0.749434
311,51,0.8226,-0.412189
312,30,0.4839,-1.199095
313,52,0.8387,-0.374717
314,134,2.1613,2.697963
315,118,1.9032,2.098416
316,72,1.1613,0.374717
317,77,1.2419,0.562076
318,49,0.7903,-0.487132
319,95,1.5323,1.236566
320,118,1.9032,2.098416
321,143,2.3065,3.035208
322,94,1.5161,1.199095
323,101,1.629,1.461397
324,92,1.4839,1.124151
