fov_id,n_detected,ratio_to_median,robust_zscore
1,178,0.7739,-1.461397
2,220,0.9565,-0.281038
3,183,0.7957,-1.320878
4,182,0.7913,-1.348982
5,195,0.8478,-0.983632
6,183,0.7957,-1.320878
7,189,0.8217,-1.152255
8,169,0.7348,-1.714331
9,166,0.7217,-1.798642
10,140,0.6087,-2.52934
11,166,0.7217,-1.798642
12,273,1.187,1.208463
13,209,0.9087,-0.590179
14,230,1.0,0.0
15,250,1.087,0.562076
16,245,1.0652,0.421557
17,265,1.1522,0.983632
18,270,1.1739,1.124151
19,204,0.887,-0.730698
20,177,0.7696,-1.4895
21,200,0.8696,-0.843113
22,217,0.9435,-0.365349
23,199,0.8652,-0.871217
24,218,0.9478,-0.337245
25,222,0.9652,-0.22483
26,222,0.9652,-0.22483
27,181,0.787,-1.377085
28,153,0.6652,-2.163991
29,202,0.8783,-0.786906
30,225,0.9783,-0.140519
31,213,0.9261,-0.477764
32,229,0.9957,-0.028104
33,256,1.113,0.730698
34,251,1.0913,0.590179
35,249,1.0826,0.533972
36,299,1.3,1.939161
37,296,1.287,1.85485
38,199,0.8652,-0.871217
39,200,0.8696,-0.843113
40,192,0.8348,-1.067944
41,201,0.8739,-0.81501
42,197,0.8565,-0.927425
43,224,0.9739,-0.168623
44,239,1.0391,0.252934
45,260,1.1304,0.843113
46,180,0.7826,-1.405189
47,216,0.9391,-0.393453
48,210,0.913,-0.562076
49,218,0.9478,-0.337245
50,230,1.0,0.0
51,286,1.2435,1.573812
52,271,1.1783,1.152255
53,273,1.187,1.208463
54,295,1.2826,1.826746
55,232,1.0087,0.056208
56,194,0.8435,-1.011736
57,215,0.9348,-0.421557
58,220,0.9565,-0.281038
59,189,0.8217,-1.152255
60,204,0.887,-0.730698
61,194,0.8435,-1.011736
62,221,0.9609,-0.252934
63,249,1.0826,0.533972
64,198,0.8609,-0.899321
65,188,0.8174,-1.180359
66,190,0.8261,-1.124151
67,241,1.0478,0.309142
68,269,1.1696,1.096047
69,321,1.3957,2.557444
70,287,1.2478,1.601916
71,268,1.1652,1.067944
72,347,1.5087,3.288142
73,269,1.1696,1.096047
74,220,0.9565,-0.281038
75,190,0.8261,-1.124151
76,231,1.0043,0.028104
77,178,0.7739,-1.461397
78,179,0.7783,-1.433293
79,222,0.9652,-0.22483
80,218,0.9478,-0.337245
81,217,0.9435,-0.365349
82,214,0.9304,-0.449661
83,214,0.9304,-0.449661
84,229,0.9957,-0.028104
85,199,0.8652,-0.871217
86,214,0.9304,-0.449661
87,273,1.187,1.208463
88,229,0.9957,-0.028104
89,217,0.9435,-0.365349
90,297,1.2913,1.882953
91,287,1.2478,1.601916
92,183,0.7957,-1.320878
93,186,0.8087,-1.236566
94,216,0.9391,-0.393453
95,186,0.8087,-1.236566
96,163,0.7087,-1.882953
97,212,0.9217,-0.505868
98,248,1.0783,0.505868
99,214,0.9304,-0.449661
100,211,0.9174,-0.533972
101,220,0.9565,-0.281038
102,226,0.9826,-0.112415
103,207,0.9,-0.646387
104,245,1.0652,0.421557
105,284,1.2348,1.517604
106,354,1.5391,3.484869
107,285,1.2391,1.545708
108,274,1.1913,1.236566
109,213,0.9261,-0.477764
110,164,0.713,-1.85485
111,151,0.6565,-2.220199
112,178,0.7739,-1.461397
113,191,0.8304,-1.096047
114,178,0.7739,-1.461397
115,228,0.9913,-0.056208
116,187,0.813,-1.208463
117,231,1.0043,0.028104
118,216,0.9391,-0.393453
119,237,1.0304,0.196726
120,227,0.987,-0.084311
121,229,0.9957,-0.028104
122,266,1.1565,1.011736
123,361,1.5696,3.681595
124,258,1.1217,0.786906
125,279,1.213,1.377085
126,267,1.1609,1.03984
127,272,1.1826,1.180359
128,180,0.7826,-1.405189
129,173,0.7522,-1.601916
130,182,0.7913,-1.348982
131,194,0.8435,-1.011736
132,188,0.8174,-1.180359
133,242,1.0522,0.337245
134,240,1.0435,0.281038
135,222,0.9652,-0.22483
136,258,1.1217,0.786906
137,255,1.1087,0.702595
138,256,1.113,0.730698
139,258,1.1217,0.786906
140,251,1.0913,0.590179
141,308,1.3391,2.192095
142,226,0.9826,-0.112415
143,234,1.0174,0.112415
144,310,1.3478,2.248303
145,276,1.2,1.292774
146,193,0.8391,-1.03984
147,184,0.8,-1.292774
148,180,0.7826,-1.405189
149,180,0.7826,-1.405189
150,193,0.8391,-1.03984
151,238,1.0348,0.22483
152,292,1.2696,1.742434
153,207,0.9,-0.646387
154,212,0.9217,-0.505868
155,242,1.0522,0.337245
156,228,0.9913,-0.056208
157,254,1.1043,0.674491
158,236,1.0261,0.168623
159,305,1.3261,2.107784
160,201,0.8739,-0.81501
161,187,0.813,-1.208463
162,240,1.0435,0.281038
163,245,1.0652,0.421557
164,189,0.8217,-1.152255
165,187,0.813,-1.208463
