fov_id,n_detected,ratio_to_median,robust_zscore
1,169,1.2202,0.548586
2,171,1.2347,0.584559
3,310,2.2383,3.084671
4,414,2.9892,4.955259
5,426,3.0758,5.171096
6,276,1.9928,2.473133
7,230,1.6606,1.645757
8,230,1.6606,1.645757
9,309,2.231,3.066685
10,165,1.1913,0.47664
11,221,1.5957,1.48388
12,143,1.0325,0.080939
13,241,1.7401,1.843608
14,233,1.6823,1.699717
15,222,1.6029,1.501866
16,191,1.3791,0.944287
17,124,0.8953,-0.260803
18,145,1.0469,0.116912
19,97,0.7004,-0.746436
20,148,1.0686,0.170871
21,305,2.2022,2.994739
22,295,2.13,2.814875
23,273,1.9711,2.419174
24,176,1.2708,0.674491
25,196,1.4152,1.034219
26,207,1.4946,1.23207
27,255,1.8412,2.095418
28,204,1.4729,1.178111
29,249,1.7978,1.987499
30,182,1.3141,0.782409
31,188,1.3574,0.890328
32,160,1.1552,0.386708
33,229,1.6534,1.627771
34,157,1.1336,0.332749
35,123,0.8881,-0.27879
36,115,0.8303,-0.422681
37,168,1.213,0.530599
38,172,1.2419,0.602545
39,189,1.3646,0.908314
40,244,1.7617,1.897567
41,227,1.639,1.591798
42,154,1.1119,0.27879
43,137,0.9892,-0.02698
44,154,1.1119,0.27879
45,264,1.9061,2.257296
46,184,1.3285,0.818382
47,301,2.1733,2.922793
48,144,1.0397,0.098925
49,258,1.8628,2.149377
50,206,1.4874,1.214083
51,154,1.1119,0.27879
52,172,1.2419,0.602545
53,163,1.1769,0.440667
54,179,1.2924,0.72845
55,98,0.7076,-0.72845
56,134,0.9675,-0.080939
57,269,1.9422,2.347228
58,261,1.8845,2.203336
59,196,1.4152,1.034219
60,131,0.9458,-0.134898
61,123,0.8881,-0.27879
62,183,1.3213,0.800396
63,248,1.7906,1.969513
64,230,1.6606,1.645757
65,199,1.4368,1.088178
66,191,1.3791,0.944287
67,192,1.3863,0.962273
68,196,1.4152,1.034219
69,268,1.935,2.329241
70,202,1.4585,1.142138
71,182,1.3141,0.782409
72,182,1.3141,0.782409
73,76,0.5487,-1.124151
74,93,0.6715,-0.818382
75,192,1.3863,0.962273
76,284,2.0505,2.617024
77,204,1.4729,1.178111
78,184,1.3285,0.818382
79,133,0.9603,-0.098925
80,159,1.148,0.368722
81,258,1.8628,2.149377
82,238,1.7184,1.789649
83,176,1.2708,0.674491
84,189,1.3646,0.908314
85,180,1.2996,0.746436
86,186,1.343,0.854355
