fov_id,n_detected,ratio_to_median,robust_zscore
1,150,0.7299,-0.870564
2,153,0.7445,-0.823506
3,107,0.5207,-1.545054
4,148,0.7202,-0.901935
5,153,0.7445,-0.823506
6,110,0.5353,-1.497997
7,141,0.6861,-1.011736
8,137,0.6667,-1.074479
9,113,0.5499,-1.450939
10,90,0.438,-1.811714
11,85,0.4136,-1.890143
12,93,0.4526,-1.764656
13,73,0.3552,-2.078373
14,86,0.4185,-1.874457
15,66,0.3212,-2.188174
16,49,0.2384,-2.454833
17,64,0.3114,-2.219545
18,51,0.2482,-2.423461
19,114,0.5547,-1.435254
20,166,0.8078,-0.61959
21,151,0.7348,-0.854878
22,231,1.1241,0.399989
23,139,0.6764,-1.043108
24,142,0.691,-0.99605
25,165,0.8029,-0.635276
26,243,1.1825,0.588219
27,131,0.6375,-1.168594
28,103,0.5012,-1.607798
29,97,0.472,-1.701913
30,80,0.3893,-1.968572
31,65,0.3163,-2.203859
32,86,0.4185,-1.874457
33,90,0.438,-1.811714
34,51,0.2482,-2.423461
35,48,0.2336,-2.470518
36,46,0.2238,-2.50189
37,159,0.7737,-0.729391
38,148,0.7202,-0.901935
39,183,0.8905,-0.352931
40,139,0.6764,-1.043108
41,156,0.7591,-0.776449
42,172,0.837,-0.525475
43,190,0.9246,-0.24313
44,135,0.6569,-1.105851
45,146,0.7105,-0.933307
46,95,0.4623,-1.733284
47,88,0.4282,-1.843085
48,103,0.5012,-1.607798
49,77,0.3747,-2.015629
50,69,0.3358,-2.141116
51,124,0.6034,-1.278395
52,120,0.5839,-1.341139
53,95,0.4623,-1.733284
54,55,0.2676,-2.360718
55,196,0.9538,-0.149015
56,214,1.0414,0.13333
57,218,1.0608,0.196073
58,209,1.017,0.0549
59,178,0.8662,-0.43136
60,199,0.9684,-0.101958
61,211,1.0268,0.086272
62,125,0.6083,-1.262709
63,154,0.7494,-0.80782
64,106,0.5158,-1.56074
65,139,0.6764,-1.043108
66,103,0.5012,-1.607798
67,81,0.3942,-1.952886
68,104,0.5061,-1.592112
69,140,0.6813,-1.027422
70,96,0.4672,-1.717599
71,137,0.6667,-1.074479
72,124,0.6034,-1.278395
73,276,1.3431,1.105851
74,270,1.3139,1.011736
75,287,1.3966,1.278395
76,288,1.4015,1.294081
77,232,1.129,0.415675
78,264,1.2847,0.917621
79,250,1.2165,0.69802
80,168,0.8175,-0.588219
81,160,0.7786,-0.713705
82,145,0.7056,-0.948993
83,168,0.8175,-0.588219
84,141,0.6861,-1.011736
85,89,0.4331,-1.827399
86,124,0.6034,-1.278395
87,134,0.6521,-1.121537
88,92,0.4477,-1.780342
89,126,0.6131,-1.247024
90,106,0.5158,-1.56074
91,184,0.8954,-0.337245
92,214,1.0414,0.13333
93,214,1.0414,0.13333
94,261,1.2701,0.870564
95,247,1.2019,0.650962
96,263,1.2798,0.901935
97,232,1.129,0.415675
98,159,0.7737,-0.729391
99,124,0.6034,-1.278395
100,116,0.5645,-1.403882
101,210,1.0219,0.070586
102,115,0.5596,-1.419568
103,120,0.5839,-1.341139
104,136,0.6618,-1.090165
105,151,0.7348,-0.854878
106,141,0.6861,-1.011736
107,193,0.9392,-0.196073
108,160,0.7786,-0.713705
109,196,0.9538,-0.149015
110,224,1.09,0.290188
111,231,1.1241,0.399989
112,319,1.5523,1.780342
113,277,1.3479,1.121537
114,303,1.4745,1.529369
115,219,1.0657,0.211759
116,222,1.0803,0.258816
117,200,0.9732,-0.086272
118,161,0.7835,-0.69802
119,186,0.9051,-0.305874
120,127,0.618,-1.231338
121,167,0.8127,-0.603905
122,183,0.8905,-0.352931
123,130,0.6326,-1.18428
124,161,0.7835,-0.69802
125,184,0.8954,-0.337245
126,200,0.9732,-0.086272
127,293,1.4258,1.37251
128,274,1.3333,1.074479
129,273,1.3285,1.058794
130,192,0.9343,-0.211759
131,192,0.9343,-0.211759
132,194,0.944,-0.180387
133,234,1.1387,0.447046
134,196,0.9538,-0.149015
135,214,1.0414,0.13333
136,198,0.9635,-0.117644
137,192,0.9343,-0.211759
138,213,1.0365,0.117644
139,168,0.8175,-0.588219
140,240,1.1679,0.541161
141,212,1.0316,0.101958
142,199,0.9684,-0.101958
143,204,0.9927,-0.023529
144,214,1.0414,0.13333
145,208,1.0122,0.039215
146,316,1.5377,1.733284
147,222,1.0803,0.258816
148,204,0.9927,-0.023529
149,227,1.1046,0.337245
150,278,1.3528,1.137223
151,244,1.1873,0.603905
152,205,0.9976,-0.007843
153,169,0.8224,-0.572533
154,210,1.0219,0.070586
155,180,0.8759,-0.399989
156,211,1.0268,0.086272
157,237,1.1533,0.494104
158,213,1.0365,0.117644
159,271,1.3187,1.027422
160,293,1.4258,1.37251
161,234,1.1387,0.447046
162,267,1.2993,0.964679
163,228,1.1095,0.352931
164,245,1.1922,0.61959
165,274,1.3333,1.074479
166,229,1.1144,0.368617
167,228,1.1095,0.352931
168,274,1.3333,1.074479
169,274,1.3333,1.074479
170,298,1.4501,1.450939
171,306,1.4891,1.576426
172,356,1.7324,2.360718
173,307,1.4939,1.592112
174,343,1.6691,2.156802
175,320,1.5572,1.796028
176,361,1.7567,2.439147
177,445,2.1655,3.756757
178,447,2.1752,3.788128
179,377,1.8345,2.69012
180,365,1.7762,2.50189
181,211,1.0268,0.086272
182,186,0.9051,-0.305874
183,240,1.1679,0.541161
184,244,1.1873,0.603905
185,183,0.8905,-0.352931
186,265,1.2895,0.933307
187,235,1.1436,0.462732
188,220,1.0706,0.227445
189,220,1.0706,0.227445
190,203,0.9878,-0.039215
191,234,1.1387,0.447046
192,258,1.2555,0.823506
193,266,1.2944,0.948993
194,251,1.2214,0.713705
195,282,1.3723,1.199966
196,296,1.4404,1.419568
197,266,1.2944,0.948993
198,281,1.3674,1.18428
199,278,1.3528,1.137223
200,262,1.2749,0.886249
201,233,1.1338,0.43136
202,267,1.2993,0.964679
203,203,0.9878,-0.039215
204,249,1.2117,0.682334
205,238,1.1582,0.50979
206,221,1.0754,0.24313
207,266,1.2944,0.948993
208,233,1.1338,0.43136
209,296,1.4404,1.419568
210,272,1.3236,1.043108
211,301,1.4647,1.497997
212,250,1.2165,0.69802
213,242,1.1776,0.572533
214,296,1.4404,1.419568
215,283,1.3771,1.215652
216,275,1.3382,1.090165
217,159,0.7737,-0.729391
218,198,0.9635,-0.117644
219,233,1.1338,0.43136
220,355,1.7275,2.345032
221,209,1.017,0.0549
222,207,1.0073,0.023529
223,219,1.0657,0.211759
224,185,0.9002,-0.32156
225,223,1.0852,0.274502
226,243,1.1825,0.588219
227,218,1.0608,0.196073
228,224,1.09,0.290188
229,284,1.382,1.231338
230,315,1.5328,1.717599
231,249,1.2117,0.682334
232,279,1.3577,1.152909
233,270,1.3139,1.011736
234,297,1.4453,1.435254
235,166,0.8078,-0.61959
236,140,0.6813,-1.027422
237,200,0.9732,-0.086272
238,227,1.1046,0.337245
239,217,1.056,0.180387
240,222,1.0803,0.258816
241,264,1.2847,0.917621
242,252,1.2263,0.729391
243,177,0.8613,-0.447046
244,206,1.0024,0.007843
245,204,0.9927,-0.023529
246,215,1.0462,0.149015
247,241,1.1727,0.556847
248,228,1.1095,0.352931
249,246,1.1971,0.635276
250,249,1.2117,0.682334
251,270,1.3139,1.011736
252,326,1.5864,1.890143
253,173,0.8418,-0.50979
254,244,1.1873,0.603905
255,214,1.0414,0.13333
256,213,1.0365,0.117644
257,200,0.9732,-0.086272
258,240,1.1679,0.541161
259,253,1.2311,0.745077
260,290,1.4112,1.325453
261,240,1.1679,0.541161
262,183,0.8905,-0.352931
263,188,0.9148,-0.274502
264,215,1.0462,0.149015
265,194,0.944,-0.180387
266,214,1.0414,0.13333
267,253,1.2311,0.745077
268,235,1.1436,0.462732
269,252,1.2263,0.729391
270,265,1.2895,0.933307
271,185,0.9002,-0.32156
272,173,0.8418,-0.50979
273,160,0.7786,-0.713705
274,295,1.4355,1.403882
275,159,0.7737,-0.729391
276,232,1.129,0.415675
277,199,0.9684,-0.101958
278,215,1.0462,0.149015
279,244,1.1873,0.603905
280,189,0.9197,-0.258816
281,234,1.1387,0.447046
282,192,0.9343,-0.211759
283,180,0.8759,-0.399989
284,157,0.764,-0.760763
285,212,1.0316,0.101958
286,246,1.1971,0.635276
287,199,0.9684,-0.101958
288,248,1.2068,0.666648
289,151,0.7348,-0.854878
290,133,0.6472,-1.137223
291,214,1.0414,0.13333
292,155,0.7543,-0.792134
293,184,0.8954,-0.337245
294,197,0.9586,-0.13333
295,219,1.0657,0.211759
296,231,1.1241,0.399989
297,217,1.056,0.180387
298,225,1.0949,0.305874
299,185,0.9002,-0.32156
300,162,0.7883,-0.682334
301,218,1.0608,0.196073
302,175,0.8516,-0.478418
303,192,0.9343,-0.211759
304,210,1.0219,0.070586
305,158,0.7689,-0.745077
306,207,1.0073,0.023529
307,128,0.6229,-1.215652
308,168,0.8175,-0.588219
309,194,0.944,-0.180387
310,168,0.8175,-0.588219
311,180,0.8759,-0.399989
312,198,0.9635,-0.117644
313,195,0.9489,-0.164701
314,210,1.0219,0.070586
315,198,0.9635,-0.117644
316,191,0.9294,-0.227445
317,206,1.0024,0.007843
318,198,0.9635,-0.117644
319,163,0.7932,-0.666648
320,167,0.8127,-0.603905
321,229,1.1144,0.368617
322,214,1.0414,0.13333
323,170,0.8273,-0.556847
324,222,1.0803,0.258816
