fov_id,n_detected,ratio_to_median,robust_zscore
1,174,1.0116,0.0355
2,202,1.1744,0.532493
3,198,1.1512,0.461494
4,183,1.064,0.195247
5,202,1.1744,0.532493
6,146,0.8488,-0.461494
7,100,0.5814,-1.277982
8,107,0.6221,-1.153734
9,97,0.564,-1.331232
10,3939,22.9012,66.863334
11,146,0.8488,-0.461494
12,138,0.8023,-0.603492
13,117,0.6802,-0.976237
14,118,0.686,-0.958487
15,99,0.5756,-1.295732
16,99,0.5756,-1.295732
17,105,0.6105,-1.189234
18,122,0.7093,-0.887488
19,230,1.3372,1.029486
20,190,1.1047,0.319496
21,214,1.2442,0.74549
22,129,0.75,-0.76324
23,164,0.9535,-0.141998
24,163,0.9477,-0.159748
25,154,0.8953,-0.319496
26,148,0.8605,-0.425994
27,84,0.4884,-1.561979
28,82,0.4767,-1.597478
29,93,0.5407,-1.402231
30,87,0.5058,-1.508729
31,79,0.4593,-1.650727
32,110,0.6395,-1.100485
33,79,0.4593,-1.650727
34,93,0.5407,-1.402231
35,82,0.4767,-1.597478
36,81,0.4709,-1.615228
37,257,1.4942,1.508729
38,168,0.9767,-0.070999
39,155,0.9012,-0.301746
40,163,0.9477,-0.159748
41,170,0.9884,-0.0355
42,163,0.9477,-0.159748
43,100,0.5814,-1.277982
44,129,0.75,-0.76324
45,155,0.9012,-0.301746
46,158,0.9186,-0.248497
47,134,0.7791,-0.674491
48,128,0.7442,-0.780989
49,118,0.686,-0.958487
50,99,0.5756,-1.295732
51,67,0.3895,-1.863724
52,73,0.4244,-1.757226
53,103,0.5988,-1.224733
54,83,0.4826,-1.579728
55,235,1.3663,1.118235
56,193,1.1221,0.372745
57,254,1.4767,1.45548
58,204,1.186,0.567992
59,253,1.4709,1.43773
60,215,1.25,0.76324
61,177,1.0291,0.088749
62,188,1.093,0.283996
63,149,0.8663,-0.408244
64,134,0.7791,-0.674491
65,180,1.0465,0.141998
66,123,0.7151,-0.869738
67,108,0.6279,-1.135984
68,96,0.5581,-1.348982
69,109,0.6337,-1.118235
70,90,0.5233,-1.45548
71,90,0.5233,-1.45548
72,91,0.5291,-1.43773
73,236,1.3721,1.135984
74,199,1.157,0.479243
75,231,1.343,1.047236
76,198,1.1512,0.461494
77,237,1.3779,1.153734
78,166,0.9651,-0.106499
79,154,0.8953,-0.319496
80,205,1.1919,0.585742
81,137,0.7965,-0.621241
82,96,0.5581,-1.348982
83,126,0.7326,-0.816489
84,133,0.7733,-0.692241
85,108,0.6279,-1.135984
86,90,0.5233,-1.45548
87,95,0.5523,-1.366731
88,108,0.6279,-1.135984
89,66,0.3837,-1.881474
90,77,0.4477,-1.686227
91,297,1.7267,2.21872
92,208,1.2093,0.638991
93,247,1.436,1.331232
94,279,1.6221,1.899224
