fov_id,n_detected,ratio_to_median,robust_zscore
1,58,0.6744,-0.563753
2,46,0.5349,-0.805362
3,168,1.9535,1.650992
4,128,1.4884,0.84563
5,40,0.4651,-0.926166
6,46,0.5349,-0.805362
7,49,0.5698,-0.74496
8,34,0.3953,-1.046971
9,53,0.6163,-0.664424
10,55,0.6395,-0.624156
11,81,0.9419,-0.10067
12,125,1.4535,0.785228
13,84,0.9767,-0.040268
14,80,0.9302,-0.120804
15,75,0.8721,-0.221475
16,94,1.093,0.161072
17,90,1.0465,0.080536
18,99,1.1512,0.261743
19,81,0.9419,-0.10067
20,69,0.8023,-0.342279
21,115,1.3372,0.583888
22,131,1.5233,0.906032
23,46,0.5349,-0.805362
24,99,1.1512,0.261743
25,30,0.3488,-1.127507
26,27,0.314,-1.187909
27,28,0.3256,-1.167775
28,51,0.593,-0.704692
29,51,0.593,-0.704692
30,78,0.907,-0.161072
31,82,0.9535,-0.080536
32,42,0.4884,-0.885898
33,73,0.8488,-0.261743
34,89,1.0349,0.060402
35,56,0.6512,-0.604022
36,97,1.1279,0.221475
37,64,0.7442,-0.442949
38,63,0.7326,-0.463083
39,92,1.0698,0.120804
40,124,1.4419,0.765094
41,52,0.6047,-0.684558
42,54,0.6279,-0.64429
43,52,0.6047,-0.684558
44,60,0.6977,-0.523485
45,109,1.2674,0.463083
46,80,0.9302,-0.120804
47,86,1.0,0.0
48,181,2.1047,1.912735
49,220,2.5581,2.697963
50,115,1.3372,0.583888
51,153,1.7791,1.348982
52,116,1.3488,0.604022
53,88,1.0233,0.040268
54,116,1.3488,0.604022
55,485,5.6395,8.033487
56,103,1.1977,0.342279
57,114,1.3256,0.563753
58,133,1.5465,0.9463
59,118,1.3721,0.64429
60,74,0.8605,-0.241609
61,55,0.6395,-0.624156
62,72,0.8372,-0.281877
63,69,0.8023,-0.342279
64,105,1.2209,0.382547
65,67,0.7791,-0.382547
66,140,1.6279,1.087239
67,90,1.0465,0.080536
68,112,1.3023,0.523485
69,90,1.0465,0.080536
70,87,1.0116,0.020134
71,119,1.3837,0.664424
72,121,1.407,0.704692
73,86,1.0,0.0
74,56,0.6512,-0.604022
75,56,0.6512,-0.604022
76,86,1.0,0.0
77,116,1.3488,0.604022
78,68,0.7907,-0.362413
79,51,0.593,-0.704692
80,68,0.7907,-0.362413
81,43,0.5,-0.865764
82,85,0.9884,-0.020134
83,55,0.6395,-0.624156
84,118,1.3721,0.64429
85,120,1.3953,0.684558
86,75,0.8721,-0.221475
87,90,1.0465,0.080536
88,64,0.7442,-0.442949
89,144,1.6744,1.167775
90,88,1.0233,0.040268
91,71,0.8256,-0.302011
92,64,0.7442,-0.442949
93,70,0.814,-0.322145
94,137,1.593,1.026837
95,136,1.5814,1.006703
96,65,0.7558,-0.422815
97,106,1.2326,0.402681
98,56,0.6512,-0.604022
99,56,0.6512,-0.604022
100,71,0.8256,-0.302011
101,79,0.9186,-0.140938
102,84,0.9767,-0.040268
103,89,1.0349,0.060402
104,69,0.8023,-0.342279
105,117,1.3605,0.624156
106,102,1.186,0.322145
107,88,1.0233,0.040268
108,124,1.4419,0.765094
109,52,0.6047,-0.684558
110,36,0.4186,-1.006703
111,53,0.6163,-0.664424
112,108,1.2558,0.442949
113,104,1.2093,0.362413
114,93,1.0814,0.140938
115,71,0.8256,-0.302011
116,79,0.9186,-0.140938
117,171,1.9884,1.711394
118,124,1.4419,0.765094
119,147,1.7093,1.228177
120,157,1.8256,1.429518
121,120,1.3953,0.684558
122,137,1.593,1.026837
123,155,1.8023,1.38925
124,168,1.9535,1.650992
125,163,1.8953,1.550322
