fov_id,n_detected,ratio_to_median,robust_zscore
1,100,0.5587,-1.055144
2,56,0.3128,-1.642819
3,101,0.5642,-1.041788
4,96,0.5363,-1.108569
5,104,0.581,-1.001719
6,80,0.4469,-1.322269
7,154,0.8603,-0.333906
8,154,0.8603,-0.333906
9,168,0.9385,-0.146919
10,226,1.2626,0.627744
11,159,0.8883,-0.267125
12,162,0.905,-0.227056
13,190,1.0615,0.146919
14,241,1.3464,0.828088
15,180,1.0056,0.013356
16,244,1.3631,0.868156
17,263,1.4693,1.121925
18,178,0.9944,-0.013356
19,90,0.5028,-1.188706
20,97,0.5419,-1.095213
21,154,0.8603,-0.333906
22,149,0.8324,-0.400688
23,124,0.6927,-0.734594
24,87,0.486,-1.228775
25,125,0.6983,-0.721238
26,103,0.5754,-1.015075
27,142,0.7933,-0.494181
28,149,0.8324,-0.400688
29,122,0.6816,-0.761306
30,138,0.7709,-0.547606
31,195,1.0894,0.2137
32,114,0.6369,-0.868156
33,150,0.838,-0.387331
34,139,0.7765,-0.53425
35,207,1.1564,0.373975
36,143,0.7989,-0.480825
37,79,0.4413,-1.335625
38,70,0.3911,-1.455832
39,86,0.4804,-1.242131
40,120,0.6704,-0.788019
41,103,0.5754,-1.015075
42,82,0.4581,-1.295557
43,94,0.5251,-1.135281
44,95,0.5307,-1.121925
45,151,0.8436,-0.373975
46,128,0.7151,-0.681169
47,146,0.8156,-0.440756
48,197,1.1006,0.240413
49,177,0.9888,-0.026713
50,153,0.8547,-0.347263
51,187,1.0447,0.10685
52,188,1.0503,0.120206
53,230,1.2849,0.681169
54,250,1.3966,0.948294
55,78,0.4358,-1.348982
56,27,0.1508,-2.03015
57,57,0.3184,-1.629463
58,49,0.2737,-1.736313
59,92,0.514,-1.161994
60,79,0.4413,-1.335625
61,52,0.2905,-1.696244
62,49,0.2737,-1.736313
63,64,0.3575,-1.535969
64,68,0.3799,-1.482544
65,93,0.5196,-1.148638
66,80,0.4469,-1.322269
67,95,0.5307,-1.121925
68,80,0.4469,-1.322269
69,113,0.6313,-0.881513
70,139,0.7765,-0.53425
71,150,0.838,-0.387331
72,279,1.5587,1.335625
73,73,0.4078,-1.415763
74,59,0.3296,-1.60275
75,125,0.6983,-0.721238
76,74,0.4134,-1.402407
77,63,0.352,-1.549325
78,103,0.5754,-1.015075
79,104,0.581,-1.001719
80,83,0.4637,-1.2822
81,104,0.581,-1.001719
82,141,0.7877,-0.507538
83,126,0.7039,-0.707881
84,130,0.7263,-0.654456
85,160,0.8939,-0.253769
86,143,0.7989,-0.480825
87,158,0.8827,-0.280481
88,189,1.0559,0.133563
89,184,1.0279,0.066781
90,233,1.3017,0.721238
91,39,0.2179,-1.869875
92,22,0.1229,-2.096932
93,50,0.2793,-1.722957
94,31,0.1732,-1.976725
95,36,0.2011,-1.909944
96,74,0.4134,-1.402407
97,46,0.257,-1.776382
98,51,0.2849,-1.7096
99,82,0.4581,-1.295557
100,86,0.4804,-1.242131
101,150,0.838,-0.387331
102,110,0.6145,-0.921581
103,175,0.9777,-0.053425
104,165,0.9218,-0.186988
105,157,0.8771,-0.293838
106,186,1.0391,0.093494
107,261,1.4581,1.095213
108,298,1.6648,1.589394
109,78,0.4358,-1.348982
110,54,0.3017,-1.669532
111,45,0.2514,-1.789738
112,66,0.3687,-1.509257
113,74,0.4134,-1.402407
114,97,0.5419,-1.095213
115,114,0.6369,-0.868156
116,86,0.4804,-1.242131
117,126,0.7039,-0.707881
118,154,0.8603,-0.333906
119,178,0.9944,-0.013356
120,179,1.0,0.0
121,203,1.1341,0.32055
122,170,0.9497,-0.120206
123,180,1.0056,0.013356
124,231,1.2905,0.694525
125,292,1.6313,1.509257
126,319,1.7821,1.869875
127,31,0.1732,-1.976725
128,48,0.2682,-1.749669
129,61,0.3408,-1.576038
130,73,0.4078,-1.415763
131,113,0.6313,-0.881513
132,106,0.5922,-0.975006
133,144,0.8045,-0.467469
134,112,0.6257,-0.894869
135,123,0.6872,-0.74795
136,231,1.2905,0.694525
137,208,1.162,0.387331
138,217,1.2123,0.507538
139,271,1.514,1.228775
140,227,1.2682,0.6411
141,309,1.7263,1.736313
142,318,1.7765,1.856519
143,351,1.9609,2.297275
144,411,2.2961,3.098651
145,51,0.2849,-1.7096
146,50,0.2793,-1.722957
147,98,0.5475,-1.081856
148,109,0.6089,-0.934938
149,130,0.7263,-0.654456
150,162,0.905,-0.227056
151,158,0.8827,-0.280481
152,132,0.7374,-0.627744
153,171,0.9553,-0.10685
154,199,1.1117,0.267125
155,251,1.4022,0.96165
156,368,2.0559,2.524332
157,245,1.3687,0.881513
158,270,1.5084,1.215419
159,301,1.6816,1.629463
160,348,1.9441,2.257207
161,329,1.838,2.003438
162,376,2.1006,2.631182
163,117,0.6536,-0.828088
164,108,0.6034,-0.948294
165,152,0.8492,-0.360619
166,162,0.905,-0.227056
167,227,1.2682,0.6411
168,225,1.257,0.614388
169,205,1.1453,0.347263
170,185,1.0335,0.080138
171,209,1.1676,0.400688
172,230,1.2849,0.681169
173,281,1.5698,1.362338
174,314,1.7542,1.803094
175,412,2.3017,3.112007
176,362,2.0223,2.444194
177,388,2.1676,2.791457
178,400,2.2346,2.951732
179,404,2.257,3.005157
180,434,2.4246,3.405844
181,132,0.7374,-0.627744
182,153,0.8547,-0.347263
183,156,0.8715,-0.307194
184,179,1.0,0.0
185,200,1.1173,0.280481
186,205,1.1453,0.347263
187,198,1.1061,0.253769
188,166,0.9274,-0.173631
189,160,0.8939,-0.253769
190,194,1.0838,0.200344
191,235,1.3128,0.74795
192,244,1.3631,0.868156
193,252,1.4078,0.975006
194,304,1.6983,1.669532
195,292,1.6313,1.509257
196,353,1.9721,2.323988
197,361,2.0168,2.430838
198,381,2.1285,2.697963
199,150,0.838,-0.387331
200,173,0.9665,-0.080138
201,151,0.8436,-0.373975
202,202,1.1285,0.307194
203,206,1.1508,0.360619
204,201,1.1229,0.293838
205,244,1.3631,0.868156
206,203,1.1341,0.32055
207,199,1.1117,0.267125
208,187,1.0447,0.10685
209,209,1.1676,0.400688
210,245,1.3687,0.881513
211,292,1.6313,1.509257
212,274,1.5307,1.268844
213,272,1.5196,1.242131
214,339,1.8939,2.137
215,340,1.8994,2.150357
216,354,1.9777,2.337344
217,175,0.9777,-0.053425
218,175,0.9777,-0.053425
219,207,1.1564,0.373975
220,220,1.2291,0.547606
221,181,1.0112,0.026713
222,219,1.2235,0.53425
223,200,1.1173,0.280481
224,206,1.1508,0.360619
225,208,1.162,0.387331
226,260,1.4525,1.081856
227,237,1.324,0.774663
228,245,1.3687,0.881513
229,261,1.4581,1.095213
230,282,1.5754,1.375694
231,316,1.7654,1.829807
232,303,1.6927,1.656175
233,264,1.4749,1.135281
234,342,1.9106,2.177069
235,106,0.5922,-0.975006
236,98,0.5475,-1.081856
237,136,0.7598,-0.574319
238,149,0.8324,-0.400688
239,153,0.8547,-0.347263
240,157,0.8771,-0.293838
241,166,0.9274,-0.173631
242,189,1.0559,0.133563
243,196,1.095,0.227056
244,198,1.1061,0.253769
245,190,1.0615,0.146919
246,228,1.2737,0.654456
247,274,1.5307,1.268844
248,244,1.3631,0.868156
249,230,1.2849,0.681169
250,247,1.3799,0.908225
251,230,1.2849,0.681169
252,321,1.7933,1.896588
253,132,0.7374,-0.627744
254,130,0.7263,-0.654456
255,184,1.0279,0.066781
256,181,1.0112,0.026713
257,163,0.9106,-0.2137
258,160,0.8939,-0.253769
259,174,0.9721,-0.066781
260,195,1.0894,0.2137
261,187,1.0447,0.10685
262,209,1.1676,0.400688
263,202,1.1285,0.307194
264,223,1.2458,0.587675
265,253,1.4134,0.988363
266,225,1.257,0.614388
267,250,1.3966,0.948294
268,241,1.3464,0.828088
269,255,1.4246,1.015075
270,278,1.5531,1.322269
271,409,2.2849,3.071938
272,156,0.8715,-0.307194
273,160,0.8939,-0.253769
274,175,0.9777,-0.053425
275,165,0.9218,-0.186988
276,154,0.8603,-0.333906
277,166,0.9274,-0.173631
278,161,0.8994,-0.240413
279,172,0.9609,-0.093494
280,169,0.9441,-0.133563
281,179,1.0,0.0
282,203,1.1341,0.32055
283,231,1.2905,0.694525
284,228,1.2737,0.654456
285,198,1.1061,0.253769
286,203,1.1341,0.32055
287,190,1.0615,0.146919
288,259,1.4469,1.0685
289,232,1.2961,0.707881
290,152,0.8492,-0.360619
291,176,0.9832,-0.040069
292,214,1.1955,0.467469
293,183,1.0223,0.053425
294,177,0.9888,-0.026713
295,190,1.0615,0.146919
296,182,1.0168,0.040069
297,214,1.1955,0.467469
298,201,1.1229,0.293838
299,169,0.9441,-0.133563
300,176,0.9832,-0.040069
301,203,1.1341,0.32055
302,223,1.2458,0.587675
303,245,1.3687,0.881513
304,153,0.8547,-0.347263
305,155,0.8659,-0.32055
306,185,1.0335,0.080138
307,222,1.2402,0.574319
308,188,1.0503,0.120206
309,160,0.8939,-0.253769
310,193,1.0782,0.186988
311,203,1.1341,0.32055
312,215,1.2011,0.480825
313,187,1.0447,0.10685
314,195,1.0894,0.2137
315,213,1.1899,0.454113
316,193,1.0782,0.186988
317,202,1.1285,0.307194
318,217,1.2123,0.507538
319,224,1.2514,0.601031
320,215,1.2011,0.480825
321,228,1.2737,0.654456
322,244,1.3631,0.868156
323,229,1.2793,0.667813
324,289,1.6145,1.469188
